,lemmatised_Luke
4619,every
4620,one
4621,shall
4622,perfect
4623,","
4624,master
4625,.
4626,6:41
4627,.
4628,seest
4629,thou
4630,mote
4631,thy
4632,brother
4633,’
4634,eye
4635,:
4636,beam
4637,thy
4638,eye
4639,thou
4640,considerest
4641,?
4642,6:42
4643,.
4644,canst
4645,thou
4646,say
4647,thy
4648,brother
4649,:
4650,Brother
4651,","
4652,let
4653,pull
4654,mote
4655,thy
4656,eye
4657,","
4658,thou
4659,thyself
4660,seest
4661,beam
4662,thy
4663,eye
4664,?
4665,Hypocrite
4666,","
4667,cast
4668,first
4669,beam
4670,thy
4671,eye
4672,:
4673,shalt
4674,thou
4675,see
4676,clearly
4677,take
4678,mote
4679,thy
4680,brother
4681,’
4682,eye
4683,.
4684,6:43
4685,.
4686,good
4687,tree
4688,bringeth
4689,forth
4690,evil
4691,fruit
4692,:
4693,evil
4694,tree
4695,bringeth
4696,forth
4697,good
4698,fruit
4699,.
4700,6:44
4701,.
4702,every
4703,tree
4704,known
4705,fruit
4706,.
4707,men
4708,gather
4709,fig
4710,thorn
4711,:
4712,bramble
4713,bush
4714,gather
4715,grape
4716,.
4717,6:45
4718,.
4719,good
4720,man
4721,good
4722,treasure
4723,heart
4724,bringeth
4725,forth
4726,good
4727,:
4728,evil
4729,man
4730,evil
4731,treasure
4732,bringeth
4733,forth
4734,evil
4735,.
4736,abundance
4737,heart
4738,mouth
4739,speaketh
4740,.
4741,6:46
4742,.
4743,call
4744,","
4745,Lord
4746,","
4747,Lord
4748,;
4749,thing
4750,say
4751,?
4752,6:47
4753,.
4754,Every
4755,one
4756,cometh
4757,heareth
4758,word
4759,doth
4760,","
4761,shew
4762,like
4763,.
4764,6:48
4765,.
4766,like
4767,man
4768,building
4769,house
4770,","
4771,digged
4772,deep
4773,laid
4774,foundation
4775,upon
4776,rock
4777,.
4778,flood
4779,came
4780,","
4781,stream
4782,beat
4783,vehemently
4784,upon
4785,house
4786,:
4787,could
4788,shake
4789,:
4790,founded
4791,rock
4792,.
4793,6:49
4794,.
4795,heareth
4796,doth
4797,like
4798,man
4799,building
4800,house
4801,upon
4802,earth
4803,without
4804,foundation
4805,:
4806,stream
4807,beat
4808,vehemently
4809,.
4810,immediately
4811,fell
4812,:
4813,ruin
4814,house
4815,great
4816,.
4817,Luke
4818,Chapter
4819,7
4820,Christ
4821,heals
4822,centurion
4823,’
4824,servant
4825,.
4826,raise
4827,widow
4828,’
4829,son
4830,life
4831,","
4832,answer
4833,messenger
4834,sent
4835,John
4836,absolves
4837,penitent
4838,sinner
4839,.
4840,7:1
4841,.
4842,finished
4843,word
4844,hearing
4845,people
4846,","
4847,entered
4848,Capharnaum
4849,.
4850,7:2
4851,.
4852,servant
4853,certain
4854,centurion
4855,dear
4856,","
4857,sick
4858,","
4859,ready
4860,die
4861,.
4862,7:3
4863,.
4864,heard
4865,Jesus
4866,","
4867,sent
4868,unto
4869,ancient
4870,Jews
4871,","
4872,desiring
4873,come
4874,heal
4875,servant
4876,.
4877,7:4
4878,.
4879,came
4880,Jesus
4881,","
4882,besought
4883,earnestly
4884,","
4885,saying
4886,:
4887,worthy
4888,thou
4889,shouldest
4890,.
4891,7:5
4892,.
4893,loveth
4894,nation
4895,:
4896,hath
4897,built
4898,u
4899,synagogue
4900,.
4901,7:6
4902,.
4903,Jesus
4904,went
4905,.
4906,far
4907,house
4908,","
4909,centurion
4910,sent
4911,friend
4912,","
4913,saying
4914,:
4915,Lord
4916,","
4917,trouble
4918,thyself
4919,;
4920,worthy
4921,thou
4922,shouldst
4923,enter
4924,roof
4925,.
4926,7:7
4927,.
4928,cause
4929,neither
4930,think
4931,worthy
4932,come
4933,thee
4934,:
4935,say
4936,word
4937,","
4938,servant
4939,shall
4940,healed
4941,.
4942,7:8
4943,.
4944,also
4945,man
4946,subject
4947,authority
4948,","
4949,soldier
4950,:
4951,say
4952,one
4953,","
4954,Go
4955,","
4956,goeth
4957,:
4958,another
4959,","
4960,Come
4961,","
4962,cometh
4963,;
4964,servant
4965,","
4966,","
4967,doth
4968,.
4969,7:9
4970,.
4971,Jesus
4972,hearing
4973,","
4974,marvelled
4975,:
4976,turning
4977,multitude
4978,followed
4979,","
4980,said
4981,:
4982,Amen
4983,say
4984,","
4985,found
4986,great
4987,faith
4988,","
4989,even
4990,Israel
4991,.
4992,7:10
4993,.
4994,sent
4995,","
4996,returned
4997,house
4998,","
4999,found
5000,servant
5001,whole
5002,sick
5003,.
5004,7:11
5005,.
5006,came
5007,pas
5008,afterwards
5009,went
5010,city
5011,called
5012,Naim
5013,:
5014,went
5015,disciple
5016,great
5017,multitude
5018,.
5019,7:12
5020,.
5021,came
5022,nigh
5023,gate
5024,city
5025,","
5026,behold
5027,dead
5028,man
5029,carried
5030,","
5031,son
5032,mother
5033,:
5034,widow
5035,.
5036,great
5037,multitude
5038,city
5039,.
5040,7:13
5041,.
5042,Lord
5043,seen
5044,","
5045,moved
5046,mercy
5047,towards
5048,","
5049,said
5050,:
5051,Weep
5052,.
5053,7:14
5054,.
5055,came
5056,near
5057,touched
5058,bier
5059,.
5060,carried
5061,stood
5062,still
5063,.
5064,said
5065,:
5066,Young
5067,man
5068,","
5069,say
5070,thee
5071,","
5072,arise
5073,.
5074,7:15
5075,.
5076,dead
5077,sat
5078,began
5079,speak
5080,.
5081,gave
5082,mother
5083,.
5084,7:16
5085,.
5086,came
5087,fear
5088,upon
5089,:
5090,glorified
5091,God
5092,saying
5093,:
5094,great
5095,prophet
5096,risen
5097,among
5098,u
5099,:
5100,","
5101,God
5102,hath
5103,visited
5104,people
5105,.
5106,7:17
5107,.
5108,rumour
5109,went
5110,forth
5111,throughout
5112,Judea
5113,throughout
5114,country
5115,round
5116,.
5117,7:18
5118,.
5119,John
5120,’
5121,disciple
5122,told
5123,thing
5124,.
5125,7:19
5126,.
5127,John
5128,called
5129,two
5130,disciple
5131,sent
5132,Jesus
5133,","
5134,saying
5135,:
5136,Art
5137,thou
5138,art
5139,come
5140,?
5141,look
5142,another
5143,?
5144,7:20
5145,.
5146,men
5147,come
5148,unto
5149,","
5150,said
5151,:
5152,John
5153,Baptist
5154,hath
5155,sent
5156,u
5157,thee
5158,","
5159,saying
5160,:
5161,Art
5162,thou
5163,art
5164,come
5165,?
5166,look
5167,another
5168,?
5169,7:21
5170,.
5171,(
5172,hour
5173,","
5174,cured
5175,many
5176,disease
5177,hurt
5178,evil
5179,spirit
5180,:
5181,many
5182,blind
5183,gave
5184,sight
5185,.
5186,)
5187,7:22
5188,.
5189,answering
5190,","
5191,said
5192,:
5193,Go
5194,relate
5195,John
5196,heard
5197,seen
5198,:
5199,blind
5200,see
5201,","
5202,lame
5203,walk
5204,","
5205,leper
5206,made
5207,clean
5208,","
5209,deaf
5210,hear
5211,","
5212,dead
5213,rise
5214,","
5215,poor
5216,gospel
5217,preached
5218,.
5219,7:23
5220,.
5221,blessed
5222,whosoever
5223,shall
5224,scandalized
5225,.
5226,7:24
5227,.
5228,messenger
5229,John
5230,departed
5231,","
5232,began
5233,speak
5234,multitude
5235,concerning
5236,John
5237,.
5238,went
5239,ye
5240,desert
5241,see
5242,?
5243,reed
5244,shaken
5245,wind
5246,?
5247,7:25
5248,.
5249,went
5250,see
5251,?
5252,man
5253,clothed
5254,soft
5255,garment
5256,?
5257,Behold
5258,costly
5259,apparel
5260,live
5261,delicately
5262,house
5263,king
5264,.
5265,7:26
5266,.
5267,went
5268,see
5269,?
5270,prophet
5271,?
5272,Yea
5273,","
5274,say
5275,","
5276,prophet
5277,.
5278,7:27
5279,.
5280,written
5281,:
5282,Behold
5283,send
5284,angel
5285,thy
5286,face
5287,","
5288,shall
5289,prepare
5290,thy
5291,way
5292,thee
5293,.
5294,7:28
5295,.
5296,say
5297,:
5298,Amongst
5299,born
5300,woman
5301,","
5302,greater
5303,prophet
5304,John
5305,Baptist
5306,.
5307,lesser
5308,kingdom
5309,God
5310,greater
5311,.
5312,7:29
5313,.
5314,people
5315,hearing
5316,","
5317,publican
5318,","
5319,justified
5320,God
5321,","
5322,baptized
5323,John
5324,’
5325,baptism
5326,.
5327,Justified
5328,God
5329,....
5330,","
5331,praised
5332,justice
5333,God
5334,","
5335,feared
5336,worshipped
5337,God
5338,","
5339,merciful
5340,.
5341,7:30
5342,.
5343,Pharisees
5344,lawyer
5345,despised
5346,counsel
5347,God
5348,","
5349,baptized
5350,.
5351,7:31
5352,.
5353,Lord
5354,said
5355,:
5356,Whereunto
5357,shall
5358,liken
5359,men
5360,generation
5361,?
5362,like
5363,?
5364,7:32
5365,.
5366,like
5367,child
5368,sitting
5369,marketplace
5370,speaking
5371,one
5372,another
5373,saying
5374,:
5375,piped
5376,","
5377,danced
5378,:
5379,mourned
5380,","
5381,wept
5382,.
5383,7:33
5384,.
5385,John
5386,Baptist
5387,came
5388,neither
5389,eating
5390,bread
5391,drinking
5392,wine
5393,.
5394,say
5395,:
5396,hath
5397,devil
5398,.
5399,7:34
5400,.
5401,Son
5402,man
5403,come
5404,eating
5405,drinking
5406,.
5407,say
5408,:
5409,Behold
5410,man
5411,glutton
5412,drinker
5413,wine
5414,","
5415,friend
5416,publican
5417,sinner
5418,.
5419,7:35
5420,.
5421,wisdom
5422,justified
5423,child
5424,.
5425,7:36
5426,.
5427,one
5428,Pharisees
5429,desired
5430,eat
5431,.
5432,went
5433,house
5434,Pharisee
5435,sat
5436,meat
5437,.
5438,One
5439,Pharisees
5440,:
5441,","
5442,Simon
5443,.
5444,7:37
5445,.
5446,behold
5447,woman
5448,city
5449,","
5450,sinner
5451,","
5452,knew
5453,sat
5454,meat
5455,Pharisee
5456,’
5457,house
5458,","
5459,brought
5460,alabaster
5461,box
5462,ointment
5463,.
5464,7:38
5465,.
5466,standing
5467,behind
5468,foot
5469,","
5470,began
5471,wash
5472,foot
5473,tear
5474,wiped
5475,hair
5476,head
5477,kissed
5478,foot
5479,anointed
5480,ointment
5481,.
5482,7:39
5483,.
5484,Pharisee
5485,","
5486,invited
5487,","
5488,seeing
5489,","
5490,spoke
5491,within
5492,","
5493,saying
5494,:
5495,man
5496,","
5497,prophet
5498,","
5499,would
5500,know
5501,surely
5502,manner
5503,woman
5504,toucheth
5505,","
5506,sinner
5507,.
5508,7:40
5509,.
5510,Jesus
5511,answering
5512,","
5513,said
5514,:
5515,Simon
5516,","
5517,somewhat
5518,say
5519,thee
5520,.
5521,said
5522,:
5523,Master
5524,","
5525,say
5526,.
5527,7:41
5528,.
5529,certain
5530,creditor
5531,two
5532,debtor
5533,:
5534,one
5535,owed
5536,five
5537,hundred
5538,penny
5539,fifty
5540,.
5541,7:42
5542,.
5543,whereas
5544,wherewith
5545,pay
5546,","
5547,forgave
5548,.
5549,therefore
5550,two
5551,loveth
5552,?
5553,7:43
5554,.
5555,Simon
5556,answering
5557,","
5558,said
5559,:
5560,suppose
5561,forgave
5562,.
5563,said
5564,:
5565,Thou
5566,hast
5567,judged
5568,rightly
5569,.
5570,7:44
5571,.
5572,turning
5573,woman
5574,","
5575,said
5576,unto
5577,Simon
5578,:
5579,Dost
5580,thou
5581,see
5582,woman
5583,?
5584,entered
5585,thy
5586,house
5587,:
5588,thou
5589,gavest
5590,water
5591,foot
5592,.
5593,tear
5594,hath
5595,washed
5596,foot
5597,;
5598,hair
5599,hath
5600,wiped
5601,.
5602,7:45
5603,.
5604,Thou
5605,gavest
5606,kiss
5607,.
5608,","
5609,since
5610,came
5611,","
5612,hath
5613,ceased
5614,kiss
5615,foot
5616,.
5617,7:46
5618,.
5619,head
5620,oil
5621,thou
5622,didst
5623,anoint
5624,.
5625,ointment
5626,hath
5627,anointed
5628,foot
5629,.
5630,7:47
5631,.
5632,Wherefore
5633,","
5634,say
5635,thee
5636,:
5637,Many
5638,sin
5639,forgiven
5640,","
5641,hath
5642,loved
5643,much
5644,.
5645,le
5646,forgiven
5647,","
5648,loveth
5649,le
5650,.
5651,Many
5652,sin
5653,forgiven
5654,","
5655,hath
5656,loved
5657,much
5658,....
5659,scripture
5660,effect
5661,sometimes
5662,seems
5663,attributed
5664,one
5665,cause
5666,","
5667,diver
5668,concurring
5669,disposition
5670,;
5671,sin
5672,woman
5673,","
5674,verse
5675,","
5676,said
5677,forgiven
5678,","
5679,loved
5680,much
5681,:
5682,(
5683,ver
5684,.
5685,50
5686,)
5687,Christ
5688,tell
5689,","
5690,Thy
5691,faith
5692,hath
5693,made
5694,thee
5695,safe
5696,.
5697,Hence
5698,true
5699,conversion
5700,joined
5701,faith
5702,","
5703,hope
5704,","
5705,love
5706,","
5707,sorrow
5708,sin
5709,","
5710,pious
5711,disposition
5712,.
5713,7:48
5714,.
5715,said
5716,:
5717,Thy
5718,sin
5719,forgiven
5720,thee
5721,.
5722,7:49
5723,.
5724,sat
5725,meat
5726,began
5727,say
5728,within
5729,:
5730,forgiveth
5731,sin
5732,also
5733,?
5734,7:50
5735,.
5736,said
5737,woman
5738,:
5739,Thy
5740,faith
5741,hath
5742,made
5743,thee
5744,safe
5745,.
5746,Go
5747,peace
5748,.
5749,Luke
5750,Chapter
5751,8
5752,parable
5753,seed
5754,.
5755,Christ
5756,still
5757,storm
5758,sea
5759,","
5760,cast
5761,legion
5762,","
5763,heals
5764,issue
5765,blood
5766,raise
5767,daughter
5768,Jairus
5769,life
5770,.
5771,8:1
5772,.
5773,came
5774,pas
5775,afterwards
5776,","
5777,travelled
5778,city
5779,town
5780,","
5781,preaching
5782,evangelizing
5783,kingdom
5784,God
5785,:
5786,twelve
5787,:
5788,8:2
5789,.
5790,certain
5791,woman
5792,healed
5793,evil
5794,spirit
5795,infirmity
5796,:
5797,Mary
5798,called
5799,Magdalen
5800,","
5801,seven
5802,devil
5803,gone
5804,forth
5805,","
5806,8:3
5807,.
5808,Joanna
5809,wife
5810,Chusa
5811,","
5812,Herod
5813,’
5814,steward
5815,","
5816,Susanna
5817,many
5818,others
5819,ministered
5820,unto
5821,substance
5822,.
5823,8:4
5824,.
5825,great
5826,multitude
5827,gathered
5828,together
5829,hastened
5830,city
5831,","
5832,unto
5833,","
5834,spoke
5835,similitude
5836,.
5837,8:5
5838,.
5839,sower
5840,went
5841,sow
5842,seed
5843,.
5844,sowed
5845,","
5846,fell
5847,way
5848,side
5849,.
5850,trodden
5851,:
5852,fowl
5853,air
5854,devoured
5855,.
5856,8:6
5857,.
5858,fell
5859,upon
5860,rock
5861,.
5862,soon
5863,sprung
5864,","
5865,withered
5866,away
5867,","
5868,moisture
5869,.
5870,8:7
5871,.
5872,fell
5873,among
5874,thorn
5875,.
5876,thorn
5877,growing
5878,","
5879,choked
5880,.
5881,8:8
5882,.
5883,fell
5884,upon
5885,good
5886,ground
5887,","
5888,sprung
5889,","
5890,yielded
5891,fruit
5892,hundredfold
5893,.
5894,Saying
5895,thing
5896,","
5897,cried
5898,:
5899,hath
5900,ear
5901,hear
5902,","
5903,let
5904,hear
5905,.
5906,8:9
5907,.
5908,disciple
5909,asked
5910,parable
5911,might
5912,.
5913,8:10
5914,.
5915,said
5916,:
5917,given
5918,know
5919,mystery
5920,kingdom
5921,God
5922,;
5923,rest
5924,parable
5925,","
5926,seeing
5927,may
5928,see
5929,hearing
5930,may
5931,understand
5932,.
5933,Seeing
5934,may
5935,see
5936,....
5937,See
5938,annotation
5939,","
5940,Mark
5941,4
5942,.
5943,12
5944,.
5945,8:11
5946,.
5947,parable
5948,:
5949,seed
5950,word
5951,God
5952,.
5953,8:12
5954,.
5955,way
5956,side
5957,hear
5958,:
5959,devil
5960,cometh
5961,taketh
5962,word
5963,heart
5964,","
5965,lest
5966,believing
5967,saved
5968,.
5969,8:13
5970,.
5971,upon
5972,rock
5973,hear
5974,receive
5975,word
5976,joy
5977,:
5978,root
5979,:
5980,believe
5981,time
5982,temptation
5983,fall
5984,away
5985,.
5986,8:14
5987,.
5988,fell
5989,among
5990,thorn
5991,heard
5992,","
5993,going
5994,way
5995,","
5996,choked
5997,care
5998,rich
5999,pleasure
6000,life
6001,yield
6002,fruit
6003,.
6004,8:15
6005,.
6006,good
6007,ground
6008,good
6009,perfect
6010,heart
6011,","
6012,hearing
6013,word
6014,","
6015,keep
6016,bring
6017,forth
6018,fruit
6019,patience
6020,.
6021,8:16
6022,.
6023,man
6024,lighting
6025,candle
6026,covereth
6027,vessel
6028,putteth
6029,bed
6030,:
6031,setteth
6032,upon
6033,candlestick
6034,","
6035,come
6036,may
6037,see
6038,light
6039,.
6040,8:17
6041,.
6042,thing
6043,secret
6044,shall
6045,made
6046,manifest
6047,","
6048,hidden
6049,shall
6050,known
6051,come
6052,abroad
6053,.
6054,8:18
6055,.
6056,Take
6057,heed
6058,therefore
6059,hear
6060,.
6061,whosoever
6062,hath
6063,","
6064,shall
6065,given
6066,:
6067,whosoever
6068,hath
6069,","
6070,also
6071,thinketh
6072,hath
6073,shall
6074,taken
6075,away
6076,.
6077,8:19
6078,.
6079,mother
6080,brother
6081,came
6082,unto
6083,:
6084,could
6085,come
6086,crowd
6087,.
6088,8:20
6089,.
6090,told
6091,:
6092,Thy
6093,mother
6094,thy
6095,brother
6096,stand
6097,without
6098,","
6099,desiring
6100,see
6101,thee
6102,.
6103,8:21.
6104,answering
6105,","
6106,said
6107,:
6108,mother
6109,brother
6110,hear
6111,word
6112,God
6113,.
6114,8:22
6115,.
6116,came
6117,pas
6118,certain
6119,day
6120,went
6121,little
6122,ship
6123,disciple
6124,.
6125,said
6126,:
6127,Let
6128,u
6129,go
6130,side
6131,lake
6132,.
6133,launched
6134,forth
6135,.
6136,8:23
6137,.
6138,sailing
6139,","
6140,slept
6141,.
6142,came
6143,storm
6144,wind
6145,upon
6146,lake
6147,:
6148,filled
6149,danger
6150,.
6151,8:24
6152,.
6153,came
6154,awaked
6155,","
6156,saying
6157,:
6158,Master
6159,","
6160,perish
6161,.
6162,arising
6163,","
6164,rebuked
6165,wind
6166,rage
6167,water
6168,.
6169,ceased
6170,:
6171,calm
6172,.
6173,8:25
6174,.
6175,said
6176,:
6177,faith
6178,?
6179,afraid
6180,","
6181,wondered
6182,","
6183,saying
6184,one
6185,another
6186,:
6187,(
6188,think
6189,)
6190,","
6191,commandeth
6192,wind
6193,sea
6194,:
6195,obey
6196,?
6197,8:26
6198,.
6199,sailed
6200,country
6201,Gerasens
6202,","
6203,Galilee
6204,.
6205,8:27
6206,.
6207,come
6208,forth
6209,land
6210,","
6211,met
6212,certain
6213,man
6214,devil
6215,long
6216,time
6217,.
6218,wore
6219,clothes
6220,:
6221,neither
6222,abide
6223,house
6224,","
6225,sepulchre
6226,.
6227,8:28
6228,.
6229,saw
6230,Jesus
6231,","
6232,fell
6233,.
6234,cry
6235,loud
6236,voice
6237,","
6238,said
6239,:
6240,thee
6241,","
6242,Jesus
6243,","
6244,Son
6245,high
6246,God
6247,?
6248,beseech
6249,thee
6250,","
6251,torment
6252,.
6253,8:29
6254,.
6255,commanded
6256,unclean
6257,spirit
6258,go
6259,man
6260,.
6261,many
6262,time
6263,seized
6264,:
6265,bound
6266,chain
6267,kept
6268,fetter
6269,:
6270,breaking
6271,bond
6272,","
6273,driven
6274,devil
6275,desert
6276,.
6277,8:30
6278,.
6279,Jesus
6280,asked
6281,","
6282,saying
6283,:
6284,thy
6285,name
6286,?
6287,said
6288,:
6289,Legion
6290,.
6291,many
6292,devil
6293,entered
6294,.
6295,8:31
6296,.
6297,besought
6298,would
6299,command
6300,go
6301,abyss
6302,.
6303,8:32
6304,.
6305,herd
6306,many
6307,swine
6308,feeding
6309,mountain
6310,:
6311,besought
6312,would
6313,suffer
6314,enter
6315,.
6316,suffered
6317,.
6318,8:33
6319,.
6320,devil
6321,therefore
6322,went
6323,man
6324,entered
6325,swine
6326,.
6327,herd
6328,ran
6329,violently
6330,steep
6331,place
6332,lake
6333,stifled
6334,.
6335,8:34
6336,.
6337,fed
6338,saw
6339,done
6340,","
6341,fled
6342,away
6343,told
6344,city
6345,village
6346,.
6347,8:35
6348,.
6349,went
6350,see
6351,done
6352,.
6353,came
6354,Jesus
6355,found
6356,man
6357,devil
6358,departed
6359,","
6360,sitting
6361,foot
6362,","
6363,clothed
6364,right
6365,mind
6366,.
6367,afraid
6368,.
6369,8:36
6370,.
6371,also
6372,seen
6373,told
6374,healed
6375,legion
6376,.
6377,8:37
6378,.
6379,multitude
6380,country
6381,Gerasens
6382,besought
6383,depart
6384,:
6385,taken
6386,great
6387,fear
6388,.
6389,","
6390,going
6391,ship
6392,","
6393,returned
6394,back
6395,.
6396,8:38
6397,.
6398,man
6399,devil
6400,departed
6401,besought
6402,might
6403,.
6404,Jesus
6405,sent
6406,away
6407,","
6408,saying
6409,:
6410,8:39
6411,.
6412,Return
6413,thy
6414,house
6415,tell
6416,great
6417,thing
6418,God
6419,hath
6420,done
6421,thee
6422,.
6423,went
6424,whole
6425,city
6426,","
6427,publishing
6428,great
6429,thing
6430,Jesus
6431,done
6432,.
6433,8:40
6434,.
6435,came
6436,pas
6437,Jesus
6438,returned
6439,","
6440,multitude
6441,received
6442,:
6443,waiting
6444,.
6445,8:41
6446,.
6447,behold
6448,came
6449,man
6450,whose
6451,name
6452,Jairus
6453,:
6454,ruler
6455,synagogue
6456,.
6457,fell
6458,foot
6459,Jesus
6460,","
6461,beseeching
6462,would
6463,come
6464,house
6465,:
6466,8:42
6467,.
6468,daughter
6469,","
6470,almost
6471,twelve
6472,year
6473,old
6474,","
6475,dying
6476,.
6477,happened
6478,went
6479,thronged
6480,multitude
6481,.
6482,8:43
6483,.
6484,certain
6485,woman
6486,issue
6487,blood
6488,twelve
6489,year
6490,","
6491,bestowed
6492,substance
6493,physician
6494,could
6495,healed
6496,.
6497,8:44
6498,.
6499,came
6500,behind
6501,touched
6502,hem
6503,garment
6504,:
6505,immediately
6506,issue
6507,blood
6508,stopped
6509,.
6510,8:45
6511,.
6512,Jesus
6513,said
6514,:
6515,touched
6516,?
6517,denying
6518,","
6519,Peter
6520,said
6521,:
6522,Master
6523,","
6524,multitude
6525,throng
6526,press
6527,thee
6528,;
6529,dost
6530,thou
6531,say
6532,","
6533,touched
6534,?
6535,8:46
6536,.
6537,Jesus
6538,said
6539,:
6540,Somebody
6541,hath
6542,touched
6543,;
6544,know
6545,virtue
6546,gone
6547,.
6548,8:47
6549,.
6550,woman
6551,seeing
6552,hid
6553,","
6554,came
6555,trembling
6556,fell
6557,foot
6558,declared
6559,people
6560,cause
6561,touched
6562,","
6563,immediately
6564,healed
6565,.
6566,8:48
6567,.
6568,said
6569,:
6570,Daughter
6571,","
6572,thy
6573,faith
6574,hath
6575,made
6576,thee
6577,whole
6578,.
6579,Go
6580,thy
6581,way
6582,peace
6583,.
6584,8:49
6585,.
6586,yet
6587,speaking
6588,","
6589,cometh
6590,one
6591,ruler
6592,synagogue
6593,","
6594,saying
6595,:
6596,Thy
6597,daughter
6598,dead
6599,:
6600,trouble
6601,.
6602,8:50
6603,.
6604,Jesus
6605,hearing
6606,word
6607,","
6608,answered
6609,father
6610,maid
6611,:
6612,Fear
6613,.
6614,Believe
6615,:
6616,shall
6617,safe
6618,.
6619,8:51
6620,.
6621,come
6622,house
6623,","
6624,suffered
6625,man
6626,go
6627,","
6628,Peter
6629,James
6630,John
6631,","
6632,father
6633,mother
6634,maiden
6635,.
6636,8:52
6637,.
6638,wept
6639,mourned
6640,.
6641,said
6642,:
6643,Weep
6644,.
6645,maid
6646,dead
6647,","
6648,sleepeth
6649,.
6650,8:53
6651,.
6652,laughed
6653,scorn
6654,","
6655,knowing
6656,dead
6657,.
6658,8:54
6659,.
6660,taking
6661,hand
6662,","
6663,cried
6664,","
6665,saying
6666,:
6667,Maid
6668,","
6669,arise
6670,.
6671,8:55
6672,.
6673,spirit
6674,returned
6675,:
6676,arose
6677,immediately
6678,.
6679,bid
6680,give
6681,eat
6682,.
6683,8:56
6684,.
6685,parent
6686,astonished
6687,","
6688,charged
6689,tell
6690,man
6691,done
6692,.
6693,Luke
6694,Chapter
6695,9
6696,Christ
6697,sends
6698,forth
6699,apostle
6700,","
6701,feed
6702,five
6703,thousand
6704,five
6705,loaf
6706,","
6707,transfigured
6708,cast
6709,devil
6710,.
6711,9:1
6712,.
6713,calling
6714,together
6715,twelve
6716,apostle
6717,","
6718,gave
6719,power
6720,authority
6721,devil
6722,cure
6723,disease
6724,.
6725,9:2
6726,.
6727,sent
6728,preach
6729,kingdom
6730,God
6731,heal
6732,sick
6733,.
6734,9:3
6735,.
6736,said
6737,:
6738,Take
6739,nothing
6740,journey
6741,","
6742,neither
6743,staff
6744,","
6745,scrip
6746,","
6747,bread
6748,","
6749,money
6750,;
6751,neither
6752,two
6753,coat
6754,.
6755,9:4
6756,.
6757,whatsoever
6758,house
6759,shall
6760,enter
6761,","
6762,abide
6763,depart
6764,thence
6765,.
6766,9:5
6767,.
6768,whosoever
6769,receive
6770,","
6771,ye
6772,go
6773,city
6774,","
6775,shake
6776,even
6777,dust
6778,foot
6779,","
6780,testimony
6781,.
6782,9:6
6783,.
6784,going
6785,","
6786,went
6787,town
6788,","
6789,preaching
6790,gospel
6791,healing
6792,every
6793,.
6794,9:7
6795,.
6796,Herod
6797,","
6798,tetrarch
6799,","
6800,heard
6801,thing
6802,done
6803,.
6804,doubt
6805,","
6806,said
6807,9:8
6808,.
6809,John
6810,risen
6811,dead
6812,:
6813,","
6814,Elias
6815,appeared
6816,:
6817,others
6818,","
6819,one
6820,old
6821,prophet
6822,risen
6823,.
6824,9:9
6825,.
6826,Herod
6827,said
6828,:
6829,John
6830,beheaded
6831,.
6832,hear
6833,thing
6834,?
6835,sought
6836,see
6837,.
6838,9:10
6839,.
6840,apostle
6841,","
6842,returned
6843,","
6844,told
6845,done
6846,.
6847,taking
6848,","
6849,went
6850,aside
6851,desert
6852,place
6853,","
6854,apart
6855,","
6856,belongeth
6857,Bethsaida
6858,.
6859,9:11
6860,.
6861,people
6862,knew
6863,","
6864,followed
6865,:
6866,received
6867,spoke
6868,kingdom
6869,God
6870,healed
6871,need
6872,healing
6873,.
6874,9:12
6875,.
6876,day
6877,began
6878,decline
6879,.
6880,twelve
6881,came
6882,said
6883,:
6884,Send
6885,away
6886,multitude
6887,","
6888,","
6889,going
6890,town
6891,village
6892,round
6893,","
6894,may
6895,lodge
6896,get
6897,victual
6898,;
6899,desert
6900,place
6901,.
6902,9:13
6903,.
6904,said
6905,:
6906,Give
6907,eat
6908,.
6909,said
6910,:
6911,five
6912,loaf
6913,two
6914,fish
6915,;
6916,unless
6917,perhaps
6918,","
6919,go
6920,buy
6921,food
6922,multitude
6923,.
6924,9:14
6925,.
6926,five
6927,thousand
6928,men
6929,.
6930,said
6931,disciple
6932,:
6933,Make
6934,sit
6935,fifty
6936,company
6937,.
6938,9:15
6939,.
6940,made
6941,sit
6942,.
6943,9:16
6944,.
6945,taking
6946,five
6947,loaf
6948,two
6949,fish
6950,","
6951,looked
6952,heaven
6953,blessed
6954,:
6955,broke
6956,distributed
6957,disciple
6958,","
6959,set
6960,multitude
6961,.
6962,9:17
6963,.
6964,eat
6965,filled
6966,.
6967,taken
6968,fragment
6969,remained
6970,","
6971,twelve
6972,basket
6973,.
6974,9:18
6975,.
6976,came
6977,pas
6978,","
6979,alone
6980,praying
6981,","
6982,disciple
6983,also
6984,:
6985,asked
6986,","
6987,saying
6988,:
6989,people
6990,say
6991,?
6992,9:19
6993,.
6994,answered
6995,said
6996,:
6997,John
6998,Baptist
6999,;
7000,say
7001,Elias
7002,:
7003,others
7004,say
7005,one
7006,former
7007,prophet
7008,risen
7009,.
7010,9:20
7011,.
7012,said
7013,:
7014,say
7015,?
7016,Simon
7017,Peter
7018,answering
7019,","
7020,said
7021,:
7022,Christ
7023,God
7024,.
7025,9:21
7026,.
7027,strictly
7028,charging
7029,","
7030,commanded
