,lemmatised_Luke
645,upon
646,thee
647,power
648,High
649,shall
650,overshadow
651,thee
652,.
653,therefore
654,also
655,Holy
656,shall
657,born
658,thee
659,shall
660,called
661,Son
662,God
663,.
664,1:36
665,.
666,behold
667,thy
668,cousin
669,Elizabeth
670,","
671,also
672,hath
673,conceived
674,son
675,old
676,age
677,:
678,sixth
679,month
680,called
681,barren
682,.
683,1:37
684,.
685,word
686,shall
687,impossible
688,God
689,.
690,1:38
691,.
692,Mary
693,said
694,:
695,Behold
696,handmaid
697,Lord
698,:
699,done
700,according
701,thy
702,word
703,.
704,angel
705,departed
706,.
707,1:39
708,.
709,Mary
710,rising
711,day
712,","
713,went
714,hill
715,country
716,haste
717,city
718,Juda
719,.
720,1:40
721,.
722,entered
723,house
724,Zachary
725,saluted
726,Elizabeth
727,.
728,1:41
729,.
730,came
731,pas
732,Elizabeth
733,heard
734,salutation
735,Mary
736,","
737,infant
738,leaped
739,womb
740,.
741,Elizabeth
742,filled
743,Holy
744,Ghost
745,.
746,1:42
747,.
748,cried
749,loud
750,voice
751,said
752,:
753,Blessed
754,art
755,thou
756,among
757,woman
758,blessed
759,fruit
760,thy
761,womb
762,.
763,1:43
764,.
765,whence
766,mother
767,Lord
768,come
769,?
770,1:44
771,.
772,behold
773,soon
774,voice
775,thy
776,salutation
777,sounded
778,ear
779,","
780,infant
781,womb
782,leaped
783,joy
784,.
785,1:45
786,.
787,blessed
788,art
789,thou
790,hast
791,believed
792,","
793,thing
794,shall
795,accomplished
796,spoken
797,thee
798,Lord
799,.
800,1:46
801,.
802,Mary
803,said
804,:
805,soul
806,doth
807,magnify
808,Lord
809,.
810,1:47
811,.
812,spirit
813,hath
814,rejoiced
815,God
816,Saviour
817,.
818,1:48
819,.
820,hath
821,regarded
822,humility
823,handmaid
824,:
825,behold
826,henceforth
827,generation
828,shall
829,call
830,blessed
831,.
832,Shall
833,call
834,blessed
835,....
836,word
837,prediction
838,honour
839,church
840,age
841,pay
842,Blessed
843,Virgin
844,.
845,Let
846,Protestants
847,examine
848,whether
849,way
850,concerned
851,prophecy
852,.
853,1:49
854,.
855,mighty
856,hath
857,done
858,great
859,thing
860,:
861,holy
862,name
863,.
864,1:50
865,.
866,mercy
867,generation
868,unto
869,generation
870,","
871,fear
872,.
873,1:51
874,.
875,hath
876,shewed
877,might
878,arm
879,:
880,hath
881,scattered
882,proud
883,conceit
884,heart
885,.
886,1:52
887,.
888,hath
889,put
890,mighty
891,seat
892,hath
893,exalted
894,humble
895,.
896,1:53
897,.
898,hath
899,filled
900,hungry
901,good
902,thing
903,:
904,rich
905,hath
906,sent
907,empty
908,away
909,.
910,1:54
911,.
912,hath
913,received
914,Israel
915,servant
916,","
917,mindful
918,mercy
919,.
920,1:55
921,.
922,spoke
923,father
924,:
925,Abraham
926,seed
927,ever
928,.
929,1:56
930,.
931,Mary
932,abode
933,three
934,month
935,.
936,returned
937,house
938,.
939,1:57
940,.
941,Elizabeth
942,’
943,full
944,time
945,delivered
946,come
947,:
948,brought
949,forth
950,son
951,.
952,1:58
953,.
954,neighbor
955,kinsfolk
956,heard
957,Lord
958,shewed
959,great
960,mercy
961,towards
962,:
963,congratulated
964,.
965,1:59
966,.
967,came
968,pas
969,eighth
970,day
971,came
972,circumcise
973,child
974,:
975,called
976,father
977,’
978,name
979,Zachary
980,.
981,1:60
982,.
983,mother
984,answering
985,","
986,said
987,:
988,.
989,shall
990,called
991,John
992,.
993,1:61
994,.
995,said
996,:
997,none
998,thy
