,lemmatised_Matthew
5173,.
5174,9:36
5175,.
5176,seeing
5177,multitude
5178,","
5179,compassion
5180,:
5181,distressed
5182,","
5183,lying
5184,like
5185,sheep
5186,shepherd
5187,.
5188,9:37
5189,.
5190,saith
5191,disciple
5192,","
5193,harvest
5194,indeed
5195,great
5196,","
5197,labourer
5198,.
5199,9:38
5200,.
5201,Pray
5202,ye
5203,therefore
5204,Lord
5205,harvest
5206,","
5207,send
5208,forth
5209,labourer
5210,harvest
5211,.
5212,Matthew
5213,Chapter
5214,10
5215,Christ
5216,sends
5217,twelve
5218,apostle
5219,","
5220,power
5221,miracle
5222,.
5223,lesson
5224,give
5225,.
5226,10:1
5227,.
5228,called
5229,twelve
5230,disciple
5231,together
5232,","
5233,gave
5234,power
5235,unclean
5236,spirit
5237,","
5238,cast
5239,","
5240,heal
5241,manner
5242,disease
5243,","
5244,manner
5245,infirmity
5246,.
5247,10:2
5248,.
5249,name
5250,twelve
5251,Apostles
5252,:
5253,first
5254,","
5255,Simon
5256,called
5257,Peter
5258,","
5259,Andrew
5260,brother
5261,","
5262,10:3
5263,.
5264,James
5265,son
5266,Zebedee
5267,","
5268,John
5269,brother
5270,","
5271,Philip
5272,Bartholomew
5273,","
5274,Thomas
5275,Matthew
5276,publican
5277,","
5278,James
5279,son
5280,Alpheus
5281,","
5282,Thaddeus
5283,","
5284,10:4
5285,.
5286,Simon
5287,Cananean
5288,","
5289,Judas
5290,Iscariot
5291,","
5292,also
5293,betrayed
5294,.
5295,10:5
5296,.
5297,twelve
5298,Jesus
5299,sent
5300,:
5301,commanding
5302,","
5303,saying
5304,:
5305,Go
5306,ye
5307,way
5308,Gentiles
5309,","
5310,city
5311,Samaritans
5312,enter
5313,ye
5314,.
5315,10:6
5316,.
5317,go
5318,ye
5319,rather
5320,lost
5321,sheep
5322,house
5323,Israel
5324,.
5325,10:7
5326,.
5327,going
5328,","
5329,preach
5330,","
5331,saying
5332,:
5333,kingdom
5334,heaven
5335,hand
5336,.
5337,10:8
5338,.
5339,Heal
5340,sick
5341,","
5342,raise
5343,dead
5344,","
5345,cleanse
5346,leper
5347,","
5348,cast
5349,devil
5350,:
5351,freely
5352,received
5353,","
5354,freely
5355,give
5356,.
5357,10:9
5358,.
5359,posse
5360,gold
5361,","
5362,silver
5363,","
5364,money
5365,purse
5366,:
5367,10:10
5368,.
5369,scrip
5370,journey
5371,","
5372,two
5373,coat
5374,","
5375,shoe
5376,","
5377,staff
5378,;
5379,workman
5380,worthy
5381,meat
5382,.
5383,10:11
5384,.
5385,whatsoever
5386,city
5387,town
5388,shall
5389,enter
5390,","
5391,inquire
5392,worthy
5393,","
5394,abide
5395,till
5396,go
5397,thence
5398,.
5399,10:12
5400,.
5401,come
5402,house
5403,","
5404,salute
5405,","
5406,saying
5407,:
5408,Peace
5409,house
5410,.
5411,10:13
5412,.
5413,house
5414,worthy
5415,","
5416,peace
5417,shall
5418,come
5419,upon
5420,;
5421,worthy
5422,","
5423,peace
5424,shall
5425,return
5426,.
5427,10:14
5428,.
5429,whosoever
5430,shall
5431,receive
5432,","
5433,hear
5434,word
5435,:
5436,going
5437,forth
5438,house
5439,city
5440,shake
5441,dust
5442,foot
5443,.
5444,10:15
5445,.
5446,Amen
5447,say
5448,","
5449,shall
5450,tolerable
5451,land
5452,Sodom
5453,Gomorrha
5454,day
5455,judgment
5456,","
5457,city
5458,.
5459,10:16
5460,.
5461,Behold
5462,send
5463,sheep
5464,midst
5465,wolf
5466,.
5467,ye
5468,therefore
5469,wise
5470,serpent
5471,simple
5472,dove
5473,.
5474,Simple
5475,....
5476,","
5477,harmless
5478,","
5479,plain
5480,","
5481,sincere
5482,","
5483,without
5484,guile
5485,.
5486,10:17
5487,.
5488,beware
5489,men
5490,.
5491,deliver
5492,council
5493,","
5494,scourge
5495,synagogue
5496,.
5497,10:18
5498,.
5499,shall
5500,brought
5501,governor
5502,","
5503,king
5504,sake
5505,","
5506,testimony
5507,Gentiles
5508,:
5509,10:19
5510,.
5511,shall
5512,deliver
5513,","
5514,take
5515,thought
5516,speak
5517,:
5518,shall
5519,given
5520,hour
5521,speak
5522,:
5523,10:20
5524,.
5525,speak
5526,","
5527,spirit
5528,Father
5529,speaketh
5530,.
5531,10:21
5532,.
5533,brother
5534,also
5535,shall
5536,deliver
5537,brother
5538,death
5539,","
5540,father
5541,son
5542,;
5543,child
5544,shall
5545,rise
5546,parent
5547,","
5548,shall
5549,put
5550,death
5551,.
5552,10:22
5553,.
5554,shall
5555,hated
5556,men
5557,name
5558,’
5559,sake
5560,:
5561,shall
5562,persevere
5563,unto
5564,end
5565,","
5566,shall
5567,saved
5568,.
5569,10:23
5570,.
5571,shall
5572,persecute
5573,city
5574,","
5575,flee
5576,another
5577,.
5578,Amen
5579,say
5580,","
5581,shall
5582,finish
5583,city
5584,Israel
5585,","
5586,till
5587,Son
5588,man
5589,come
5590,.
5591,10:24
5592,.
5593,disciple
5594,master
5595,","
5596,servant
5597,lord
5598,.
5599,10:25
5600,.
5601,enough
5602,disciple
5603,master
5604,","
5605,servant
5606,lord
5607,.
5608,called
5609,good
5610,man
5611,house
5612,Beelzebub
5613,","
5614,much
5615,household
5616,?
5617,10:26
5618,.
5619,Therefore
5620,fear
5621,.
5622,nothing
5623,covered
5624,shall
5625,revealed
5626,:
5627,hid
5628,","
5629,shall
5630,known
5631,.
5632,10:27
5633,.
5634,tell
5635,dark
5636,","
5637,speak
5638,ye
5639,light
5640,:
5641,hear
5642,ear
5643,","
5644,preach
5645,ye
5646,upon
5647,housetop
5648,.
5649,10:28
5650,.
5651,fear
5652,ye
5653,kill
5654,body
5655,","
5656,able
5657,kill
5658,soul
5659,:
5660,rather
5661,fear
5662,destroy
5663,soul
5664,body
5665,hell
5666,.
5667,10:29
5668,.
5669,two
5670,sparrow
5671,sold
5672,farthing
5673,?
5674,one
5675,shall
5676,fall
5677,ground
5678,without
5679,Father
5680,.
5681,10:30
5682,.
5683,hair
5684,head
5685,numbered
5686,.
5687,10:31
5688,.
5689,Fear
5690,therefore
5691,:
5692,better
5693,many
5694,sparrow
5695,.
5696,10:32
5697,.
5698,Every
5699,one
5700,therefore
5701,shall
5702,confess
5703,men
5704,","
5705,also
5706,confess
5707,Father
5708,heaven
5709,.
5710,10:33
5711,.
5712,shall
5713,deny
5714,men
5715,","
5716,also
5717,deny
5718,Father
5719,heaven
5720,.
5721,10:34
5722,.
5723,think
5724,came
5725,send
5726,peace
5727,upon
5728,earth
5729,:
5730,came
5731,send
5732,peace
5733,","
5734,sword
5735,.
5736,10:35
5737,.
5738,came
5739,set
5740,man
5741,variance
5742,father
5743,","
5744,daughter
5745,mother
5746,","
5747,daughter
5748,law
5749,mother
5750,law
5751,.
5752,came
5753,set
5754,man
5755,variance
5756,","
5757,etc
5758,....
5759,end
5760,design
5761,coming
5762,Saviour
5763,;
5764,coming
5765,doctrine
5766,would
5767,effect
5768,","
5769,reason
5770,obstinate
5771,resistance
5772,many
5773,would
5774,make
5775,","
5776,persecuting
5777,adhere
5778,.
5779,10:36
5780,.
5781,man
5782,’
5783,enemy
5784,shall
5785,household
5786,.
5787,10:37
5788,.
5789,loveth
5790,father
5791,mother
5792,","
5793,worthy
5794,;
5795,loveth
5796,son
5797,daughter
5798,","
5799,worthy
5800,.
5801,10:38
5802,.
5803,taketh
5804,cross
5805,","
5806,followeth
5807,","
5808,worthy
5809,.
5810,10:39
5811,.
5812,findeth
5813,life
5814,","
5815,shall
5816,lose
5817,:
5818,shall
5819,lose
5820,life
5821,","
5822,shall
5823,find
5824,.
5825,10:40
5826,.
5827,receiveth
5828,","
5829,receiveth
5830,:
5831,receiveth
5832,","
5833,receiveth
5834,sent
5835,.
5836,10:41
5837,.
5838,receiveth
5839,prophet
5840,name
5841,prophet
5842,","
5843,shall
5844,receive
5845,reward
5846,prophet
5847,:
5848,receiveth
5849,man
5850,name
5851,man
5852,","
5853,shall
5854,receive
5855,reward
5856,man
5857,.
5858,10:42
5859,.
5860,whosoever
5861,shall
5862,give
5863,drink
5864,one
5865,little
5866,one
5867,cup
5868,cold
5869,water
5870,name
5871,disciple
5872,","
5873,amen
5874,say
5875,shall
5876,lose
5877,reward
5878,.
5879,Matthew
5880,Chapter
5881,11
5882,John
5883,sends
5884,disciple
5885,Christ
5886,","
5887,upbraids
5888,Jews
5889,incredulity
5890,","
5891,call
5892,sensible
5893,burden
5894,.
5895,11:1
5896,.
5897,came
5898,pas
5899,","
5900,Jesus
5901,made
5902,end
5903,commanding
5904,twelve
5905,disciple
5906,","
5907,passed
5908,thence
5909,","
5910,teach
5911,preach
5912,city
5913,.
5914,11:2
5915,.
5916,John
5917,heard
5918,prison
5919,work
5920,Christ
5921,:
5922,sending
5923,two
5924,disciple
5925,said
5926,:
5927,11:3
5928,.
5929,Art
5930,thou
5931,art
5932,come
5933,","
5934,look
5935,another
5936,?
5937,11:4
5938,.
5939,Jesus
5940,making
5941,answer
5942,said
5943,:
5944,Go
5945,relate
5946,John
5947,heard
5948,seen
5949,.
5950,11:5
5951,.
5952,blind
5953,see
5954,","
5955,lame
5956,walk
5957,","
5958,leper
5959,cleansed
5960,","
5961,deaf
5962,hear
5963,","
5964,dead
5965,rise
5966,","
5967,poor
5968,gospel
5969,preached
5970,.
5971,11:6
5972,.
5973,blessed
5974,shall
5975,scandalized
5976,.
5977,Scandalized
5978,....
5979,","
5980,shall
5981,take
5982,occasion
5983,scandal
5984,offence
5985,humility
5986,","
5987,disgraceful
5988,death
5989,cross
5990,shall
5991,endure
5992,.
5993,11:7
5994,.
5995,went
5996,way
5997,","
5998,Jesus
5999,began
6000,say
6001,multitude
6002,concerning
6003,John
6004,:
6005,went
6006,desert
6007,see
6008,?
6009,reed
6010,shaken
6011,wind
6012,?
6013,11:8
6014,.
6015,went
6016,see
6017,?
6018,man
6019,clothed
6020,soft
6021,garment
6022,?
6023,Behold
6024,clothed
6025,soft
6026,garment
6027,","
6028,house
6029,king
6030,.
6031,11:9
6032,.
6033,went
6034,see
6035,?
6036,prophet
6037,?
6038,Yea
6039,tell
6040,","
6041,prophet
6042,.
6043,11:10
6044,.
6045,written
6046,:
6047,Behold
6048,send
6049,angel
6050,thy
6051,face
6052,","
6053,shall
6054,prepare
6055,thy
6056,way
6057,thee
6058,.
6059,11:11
6060,.
6061,Amen
6062,say
6063,","
6064,hath
6065,risen
6066,among
6067,born
6068,woman
6069,greater
6070,John
6071,Baptist
6072,:
6073,yet
6074,lesser
6075,kingdom
6076,heaven
6077,greater
6078,.
6079,11:12
6080,.
6081,day
6082,John
6083,Baptist
6084,","
6085,kingdom
6086,heaven
6087,suffereth
6088,violence
6089,","
6090,violent
6091,bear
6092,away
6093,.
6094,Suffereth
6095,violence
6096,","
6097,etc
6098,....
6099,obtained
6100,main
6101,force
6102,","
6103,using
6104,violence
6105,upon
6106,","
6107,mortification
6108,penance
6109,","
6110,resisting
6111,perverse
6112,inclination
6113,.
6114,11:13
6115,.
6116,prophet
6117,law
6118,prophesied
6119,John
6120,:
6121,11:14
6122,.
6123,receive
6124,","
6125,Elias
6126,come
6127,.
6128,Elias
6129,","
6130,etc
6131,....
6132,person
6133,","
6134,spirit
6135,.
6136,St.
6137,Luke
6138,1
6139,.
6140,17
6141,.
6142,11:15
6143,.
6144,hath
6145,ear
6146,hear
6147,","
6148,let
6149,hear
6150,.
6151,11:16
6152,.
6153,whereunto
6154,shall
6155,esteem
6156,generation
6157,like
6158,?
6159,like
6160,child
6161,sitting
6162,market
6163,place
6164,.
6165,11:17.
6166,cry
6167,companion
6168,say
6169,:
6170,piped
6171,","
6172,danced
6173,:
6174,lamented
6175,","
6176,mourned
6177,.
6178,11:18
6179,.
6180,John
6181,came
6182,neither
6183,eating
6184,drinking
6185,;
6186,say
6187,:
6188,hath
6189,devil
6190,.
6191,11:19
6192,.
6193,Son
6194,man
6195,came
6196,eating
6197,drinking
6198,","
6199,say
6200,:
6201,Behold
6202,man
6203,glutton
6204,wine
6205,drinker
6206,","
6207,friend
6208,publican
6209,sinner
6210,.
6211,wisdom
6212,justified
6213,child
6214,.
6215,11:20
6216,.
6217,began
6218,upbraid
6219,city
6220,wherein
6221,done
6222,miracle
6223,","
6224,done
6225,penance
6226,.
6227,11:21
6228,.
6229,Woe
6230,thee
6231,","
6232,Corozain
6233,","
6234,woe
6235,thee
6236,","
6237,Bethsaida
6238,:
6239,Tyre
6240,Sidon
6241,wrought
6242,miracle
6243,wrought
6244,","
6245,long
6246,ago
6247,done
6248,penance
6249,sackcloth
6250,ash
6251,.
6252,11:22
6253,.
6254,say
6255,unto
6256,","
6257,shall
6258,tolerable
6259,Tyre
6260,Sidon
6261,day
6262,judgment
6263,","
6264,.
6265,11:23
6266,.
6267,thou
6268,Capharnaum
6269,","
6270,shalt
6271,thou
6272,exalted
6273,heaven
6274,?
6275,thou
6276,shalt
6277,go
6278,even
6279,unto
6280,hell
6281,.
6282,Sodom
6283,wrought
6284,miracle
6285,wrought
6286,thee
6287,","
6288,perhaps
6289,remained
6290,unto
6291,day
6292,.
6293,11:24
6294,.
6295,say
6296,unto
6297,","
6298,shall
6299,tolerable
6300,land
6301,Sodom
6302,day
6303,judgment
6304,thee
6305,.
6306,11:25
6307,.
6308,time
6309,Jesus
6310,answered
6311,said
6312,:
6313,confess
6314,thee
6315,","
6316,Father
6317,","
6318,Lord
6319,Heaven
6320,earth
6321,","
6322,thou
6323,hast
6324,hid
6325,thing
6326,wise
6327,prudent
6328,","
6329,hast
6330,revealed
6331,little
6332,one
6333,.
6334,11:26
6335,.
6336,Yea
6337,","
6338,Father
6339,:
6340,hath
6341,seemed
6342,good
6343,thy
6344,sight
6345,.
6346,11:27
6347,.
6348,thing
6349,delivered
6350,Father
6351,.
6352,one
6353,knoweth
6354,Son
6355,Father
6356,:
6357,neither
6358,doth
6359,one
6360,know
6361,Father
6362,","
6363,Son
6364,","
6365,shall
6366,please
6367,Son
6368,reveal
6369,.
6370,11:28
6371,.
6372,Come
6373,labor
6374,burdened
6375,","
6376,refresh
6377,.
6378,11:29
6379,.
6380,Take
6381,yoke
6382,upon
6383,","
6384,learn
6385,","
6386,meek
6387,","
6388,humble
6389,heart
6390,:
6391,shall
6392,find
6393,rest
6394,soul
6395,.
6396,11:30
6397,.
6398,yoke
6399,sweet
6400,burden
6401,light
6402,.
6403,Matthew
6404,Chapter
6405,12
6406,Christ
6407,reproves
6408,blindness
6409,Pharisees
6410,","
6411,confutes
6412,attributing
6413,miracle
6414,Satan
6415,.
6416,12:1
6417,.
6418,time
6419,Jesus
6420,went
6421,corn
6422,sabbath
6423,:
6424,disciple
6425,hungry
6426,","
6427,began
6428,pluck
6429,ear
6430,","
6431,eat
6432,.
6433,12:2
6434,.
6435,Pharisees
6436,seeing
6437,","
6438,said
6439,:
6440,Behold
6441,thy
6442,disciple
6443,lawful
6444,sabbath
6445,day
6446,.
6447,12:3
6448,.
6449,said
6450,:
6451,read
6452,David
6453,hungry
6454,","
6455,:
6456,12:4
6457,.
6458,entered
6459,house
6460,God
6461,","
6462,eat
6463,loaf
6464,proposition
6465,","
6466,lawful
6467,eat
6468,","
6469,","
6470,priest
6471,?
6472,loaf
6473,proposition
6474,....
6475,called
6476,twelve
6477,loaf
6478,placed
6479,sanctuary
6480,temple
6481,God
6482,.
6483,12:5
6484,.
6485,ye
6486,read
6487,law
6488,","
6489,sabbath
6490,day
6491,priest
6492,temple
6493,break
6494,sabbath
6495,","
6496,without
6497,blame
6498,?
6499,12:6
6500,.
6501,tell
6502,greater
6503,temple
6504,.
6505,12:7
6506,.
6507,knew
6508,meaneth
6509,:
6510,mercy
6511,","
6512,sacrifice
6513,:
6514,would
6515,never
6516,condemned
6517,innocent
6518,.
6519,12:8
6520,.
6521,Son
6522,man
6523,Lord
6524,even
6525,sabbath
6526,.
6527,12:9
6528,.
6529,passed
6530,thence
6531,","
6532,came
6533,synagogue
6534,.
6535,12:10
6536,.
6537,behold
6538,man
6539,withered
6540,hand
6541,","
6542,asked
6543,","
6544,saying
6545,:
6546,lawful
6547,heal
6548,sabbath
6549,day
6550,?
6551,might
6552,accuse
6553,.
6554,12:11
6555,.
6556,said
6557,:
6558,man
6559,shall
6560,among
6561,","
6562,hath
6563,one
6564,sheep
6565,:
6566,fall
6567,pit
6568,sabbath
6569,day
6570,","
6571,take
6572,hold
6573,lift
6574,?
6575,12:12
6576,.
6577,much
6578,better
6579,man
6580,sheep
6581,?
6582,Therefore
6583,lawful
6584,good
6585,deed
6586,sabbath
6587,day
6588,.
6589,12:13
6590,.
6591,saith
6592,man
6593,:
6594,Stretch
6595,forth
6596,thy
6597,hand
6598,;
6599,stretched
6600,forth
6601,","
6602,restored
6603,health
6604,even
6605,.
6606,12:14
6607,.
6608,Pharisees
6609,going
6610,made
6611,consultation
6612,","
6613,might
6614,destroy
6615,.
6616,12:15
6617,.
6618,Jesus
6619,knowing
6620,","
6621,retired
6622,thence
6623,:
6624,many
6625,followed
6626,","
6627,healed
6628,.
6629,12:16
6630,.
6631,charged
6632,make
6633,known
6634,.
6635,12:17
6636,.
6637,might
6638,fulfilled
6639,spoken
6640,Isaias
6641,prophet
6642,","
6643,saying
6644,:
6645,12:18
6646,.
6647,Behold
6648,servant
6649,chosen
6650,","
6651,beloved
6652,soul
6653,hath
6654,well
6655,pleased
6656,.
6657,put
6658,spirit
6659,upon
6660,","
6661,shall
6662,shew
6663,judgment
6664,Gentiles
6665,.
6666,12:19
6667,.
6668,shall
6669,contend
6670,","
6671,cry
6672,","
6673,neither
6674,shall
6675,man
6676,hear
6677,voice
6678,street
6679,.
6680,12:20
6681,.
6682,bruised
6683,reed
6684,shall
6685,break
6686,:
6687,smoking
6688,flax
6689,shall
6690,extinguish
6691,:
6692,till
6693,send
6694,forth
6695,judgment
6696,unto
6697,victory
6698,.
6699,12:21
6700,.
6701,name
6702,Gentiles
6703,shall
6704,hope
6705,.
6706,12:22
6707,.
6708,offered
6709,one
6710,possessed
6711,devil
6712,","
6713,blind
6714,dumb
6715,:
6716,healed
6717,","
6718,spoke
6719,saw
6720,.
6721,12:23
6722,.
6723,multitude
6724,amazed
6725,","
6726,said
6727,:
6728,son
6729,David
6730,?
6731,12:24
6732,.
6733,Pharisees
6734,hearing
6735,","
6736,said
6737,:
6738,man
6739,casteth
6740,devil
6741,Beelzebub
6742,prince
6743,devil
6744,.
6745,12:25
6746,.
6747,Jesus
6748,knowing
6749,thought
6750,","
6751,said
6752,:
6753,Every
6754,kingdom
6755,divided
6756,shall
6757,made
6758,desolate
6759,:
6760,every
6761,city
6762,house
6763,divided
6764,shall
6765,stand
6766,.
6767,12:26
6768,.
6769,Satan
6770,cast
6771,Satan
6772,","
6773,divided
6774,:
6775,shall
6776,kingdom
6777,stand
6778,?
6779,12:27
6780,.
6781,Beelzebub
6782,cast
6783,devil
6784,","
6785,child
6786,cast
6787,?
6788,Therefore
6789,shall
6790,judge
6791,.
6792,12:28
6793,.
6794,Spirit
6795,God
6796,cast
6797,devil
6798,","
6799,kingdom
6800,God
6801,come
6802,upon
6803,.
6804,12:29
6805,.
6806,one
6807,enter
6808,house
6809,strong
6810,","
6811,rifle
6812,good
6813,","
6814,unless
6815,first
6816,bind
6817,strong
6818,?
6819,rifle
6820,house
6821,.
6822,12:30
6823,.
6824,","
6825,:
6826,gathereth
6827,","
6828,scattereth
6829,.
6830,12:31
6831,.
6832,Therefore
6833,say
6834,:
6835,Every
6836,sin
6837,blasphemy
6838,shall
6839,forgiven
6840,men
6841,","
6842,blasphemy
6843,Spirit
6844,shall
6845,forgiven
6846,.
6847,blasphemy
6848,Spirit
6849,....
6850,sin
6851,spoken
6852,blasphemy
6853,","
6854,Pharisees
6855,attributed
6856,miracle
6857,Christ
6858,","
6859,wrought
6860,Spirit
6861,God
6862,","
6863,Beelzebub
6864,prince
6865,devil
6866,.
6867,kind
6868,sin
6869,usually
6870,accompanied
6871,much
6872,obstinacy
6873,","
6874,wilful
6875,opposing
6876,Spirit
6877,God
6878,","
6879,known
6880,truth
6881,","
6882,men
6883,guilty
6884,","
6885,seldom
6886,never
6887,converted
6888,:
6889,therefore
6890,never
6891,forgiven
6892,","
6893,repent
6894,.
6895,Otherwise
6896,sin
6897,","
6898,God
6899,forgive
6900,sincerely
6901,repent
6902,","
6903,recourse
6904,key
6905,church
6906,.
6907,12:32
6908,.
6909,whosoever
6910,shall
6911,speak
6912,word
6913,Son
6914,man
6915,","
6916,shall
6917,forgiven
6918,:
6919,shall
6920,speak
6921,Holy
6922,Ghost
6923,","
6924,shall
6925,forgiven
6926,neither
6927,world
6928,","
6929,world
6930,come
6931,.
6932,world
6933,come
6934,....
6935,word
6936,St.
6937,Augustine
6938,(
6939,De
6940,Civ
6941,.
6942,Dei
6943,","
6944,lib
6945,.
6946,21
6947,","
6948,c.
6949,13
6950,)
6951,St.
6952,Gregory
6953,(
6954,Dialog.
6955,","
6956,4
6957,","
6958,c.
6959,39
6960,)
6961,gather
6962,","
6963,sin
6964,may
6965,remitted
6966,world
6967,come
6968,;
6969,","
6970,consequently
6971,","
6972,purgatory
6973,middle
6974,place
6975,.
6976,12:33
6977,.
6978,Either
6979,make
6980,tree
6981,good
6982,fruit
6983,good
6984,:
6985,make
6986,tree
6987,evil
6988,","
6989,fruit
6990,evil
6991,.
6992,fruit
6993,tree
6994,known
6995,.
6996,12:34
6997,.
6998,generation
6999,viper
7000,","
7001,speak
7002,good
7003,thing
7004,","
7005,whereas
7006,evil
7007,?
7008,abundance
7009,heart
7010,mouth
7011,speaketh
7012,.
7013,12:35
7014,.
7015,good
7016,man
7017,good
7018,treasure
7019,bringeth
7020,forth
7021,good
7022,thing
7023,:
7024,evil
7025,man
7026,evil
7027,treasure
7028,bringeth
7029,forth
7030,evil
7031,thing
7032,.
7033,12:36
7034,.
7035,say
7036,unto
7037,","
7038,every
7039,idle
7040,word
7041,men
7042,shall
7043,speak
7044,","
7045,shall
7046,render
7047,account
7048,day
7049,judgment
7050,.
7051,Every
7052,idle
7053,word
7054,....
7055,shews
7056,must
7057,place
7058,temporal
7059,punishment
7060,hereafter
7061,slighter
7062,fault
7063,shall
7064,punished
7065,.
7066,12:37
7067,.
7068,thy
7069,word
7070,thou
7071,shalt
7072,justified
7073,","
7074,thy
7075,word
7076,thou
7077,shalt
7078,condemned
7079,.
7080,12:38
7081,.
7082,scribe
7083,Pharisees
7084,answered
7085,","
7086,saying
7087,:
7088,Master
7089,","
7090,would
7091,see
7092,sign
7093,thee
7094,.
7095,sign
7096,....
7097,","
7098,miracle
7099,heaven
7100,.
7101,St.
7102,Luke
7103,11
7104,.
7105,16
7106,.
7107,12:39.
7108,answering
7109,said
7110,:
7111,evil
7112,adulterous
7113,generation
7114,seeketh
7115,sign
7116,:
7117,sign
7118,shall
7119,given
7120,","
7121,sign
7122,Jonas
7123,prophet
7124,.
7125,12:40
7126,.
7127,Jonas
7128,whale
7129,’
7130,belly
7131,three
7132,day
7133,three
7134,night
7135,:
7136,shall
7137,Son
7138,man
7139,heart
7140,earth
7141,three
7142,day
7143,three
7144,night
7145,.
7146,Three
7147,day
7148,","
7149,etc
7150,....
7151,complete
7152,day
7153,night
7154,;
7155,part
7156,three
7157,day
7158,","
7159,three
7160,night
7161,taken
7162,according
7163,way
7164,Hebrews
7165,counted
7166,day
7167,night
7168,","
7169,viz.
7170,","
7171,evening
7172,evening
7173,.
7174,12:41
7175,.
7176,men
7177,Ninive
7178,shall
7179,rise
7180,judgment
7181,generation
7182,","
7183,shall
7184,condemn
7185,:
7186,penance
7187,preaching
7188,Jonas
7189,.
7190,behold
7191,greater
7192,Jonas
7193,.
7194,12:42
7195,.
7196,queen
7197,south
7198,shall
7199,rise
7200,judgment
7201,generation
7202,","
7203,shall
7204,condemn
7205,:
7206,came
7207,end
7208,earth
7209,hear
7210,wisdom
7211,Solomon
7212,","
7213,behold
7214,greater
7215,Solomon
7216,.
7217,12:43
7218,.
7219,unclean
7220,spirit
7221,gone
7222,man
7223,walketh
7224,dry
7225,place
7226,seeking
7227,rest
7228,","
7229,findeth
7230,none
7231,.
7232,12:44
7233,.
7234,saith
7235,:
7236,return
7237,house
7238,whence
7239,came
7240,.
7241,coming
7242,findeth
7243,empty
7244,","
7245,swept
7246,","
7247,garnished
7248,.
7249,12:45
7250,.
7251,goeth
7252,","
7253,taketh
7254,seven
7255,spirit
7256,wicked
7257,","
7258,enter
7259,dwell
7260,:
7261,last
7262,state
7263,man
7264,made
7265,worse
7266,first
7267,.
7268,shall
7269,also
7270,wicked
7271,generation
7272,.
7273,12:46
7274,.
7275,yet
7276,speaking
7277,multitude
7278,","
7279,behold
7280,mother
7281,brother
7282,stood
7283,without
7284,","
7285,seeking
7286,speak
7287,.
7288,12:47
7289,.
7290,one
7291,said
7292,unto
7293,:
7294,Behold
7295,thy
7296,mother
7297,thy
7298,brother
7299,stand
7300,without
7301,","
7302,seeking
7303,thee
7304,.
7305,12:48
7306,.
7307,answering
7308,told
7309,","
7310,said
7311,:
7312,mother
7313,","
7314,brother
7315,?
7316,mother
7317,?
7318,....
7319,spoken
7320,way
7321,slighting
7322,mother
7323,","
7324,shew
7325,never
7326,suffer
7327,taken
7328,service
7329,God
7330,","
7331,inordinate
7332,affection
7333,earthly
7334,parent
7335,:
7336,Lord
7337,chiefly
7338,regarded
7339,mother
7340,","
7341,Father
7342,heaven
7343,.
7344,may
7345,also
7346,allude
7347,reprobation
7348,Jews
7349,","
7350,carnal
7351,kindred
7352,","
7353,election
7354,Gentiles
7355,.
7356,12:49
7357,.
7358,stretching
7359,forth
7360,hand
7361,towards
7362,disciple
7363,","
7364,said
7365,:
7366,Behold
7367,mother
7368,brother
7369,.
7370,12:50
7371,.
7372,whosoever
7373,shall
7374,Father
7375,","
7376,heaven
7377,","
7378,brother
7379,","
7380,sister
7381,","
7382,mother
7383,.
7384,Matthew
7385,Chapter
7386,13
7387,parable
7388,sower
7389,cockle
7390,:
7391,mustardseed
7392,","
7393,etc
7394,.
7395,13:1
7396,.
7397,day
7398,Jesus
7399,going
7400,house
7401,","
7402,sat
7403,sea
7404,side
7405,.
7406,13:2
7407,.
7408,great
7409,multitude
7410,gathered
7411,together
7412,unto
7413,","
7414,went
7415,boat
7416,sat
7417,:
7418,multitude
7419,stood
7420,shore
7421,.
7422,13:3
7423,.
7424,spoke
7425,many
7426,thing
7427,parable
7428,","
7429,saying
7430,:
7431,Behold
7432,sower
7433,went
7434,forth
7435,sow
7436,.
7437,13:4
7438,.
7439,whilst
7440,soweth
7441,fell
7442,way
7443,side
7444,","
7445,bird
7446,air
7447,came
7448,ate
7449,.
7450,13:5
7451,.
7452,fell
7453,upon
7454,stony
7455,ground
7456,","
7457,much
7458,earth
7459,:
7460,sprung
7461,immediately
7462,","
7463,deepness
7464,earth
7465,.
7466,13:6
7467,.
7468,sun
7469,scorched
7470,:
7471,root
7472,","
7473,withered
7474,away
7475,.
7476,13:7
7477,.
7478,others
7479,fell
7480,among
7481,thorn
7482,:
7483,thorn
7484,grew
7485,choked
7486,.
7487,13:8
7488,.
7489,others
7490,fell
7491,upon
7492,good
7493,ground
7494,:
7495,brought
7496,forth
7497,fruit
7498,","
7499,hundred
7500,fold
7501,","
7502,sixty
7503,fold
7504,","
7505,thirty
7506,fold
7507,.
7508,13:9
7509,.
7510,hath
7511,ear
7512,hear
7513,","
7514,let
7515,hear
7516,.
7517,13:10
7518,.
7519,disciple
7520,came
7521,said
7522,:
7523,speakest
7524,thou
7525,parable
7526,?
7527,13:11.
7528,answered
7529,said
7530,:
7531,given
7532,know
7533,mystery
7534,kingdom
7535,heaven
7536,:
7537,given
7538,.
7539,13:12
7540,.
7541,hath
7542,","
7543,shall
7544,given
7545,","
7546,shall
