,lemmatised_Matthew
609,returned
610,.
611,God
612,saith
613,divine
614,Son
615,:
616,Sit
617,right
618,hand
619,till
620,make
621,thy
622,enemy
623,thy
624,footstool
625,.
626,Shall
627,sit
628,longer
629,enemy
630,subdued
631,?
632,Yea
633,eternity
634,.
635,St.
636,Jerome
637,also
638,prof
639,Scripture
640,example
641,","
642,begotten
643,son
644,","
645,also
646,called
647,firstborn
648,","
649,first
650,begotten
651,:
652,according
653,law
654,","
655,firstborn
656,male
657,consecrated
658,God
659,;
660,Sanctify
661,unto
662,","
663,saith
664,Lord
665,","
666,every
667,firstborn
668,openeth
669,womb
670,among
671,child
672,Israel
673,","
674,etc
675,.
676,Ex
677,.
678,13
679,.
680,2
681,.
682,Matthew
683,Chapter
684,2
685,offering
686,wise
687,men
688,:
689,flight
690,Egypt
691,:
692,massacre
693,Innocents
694,.
695,2:1
696,.
697,Jesus
698,therefore
699,born
700,Bethlehem
701,Juda
702,","
703,day
704,king
705,Herod
706,","
707,behold
708,","
709,came
710,wise
711,men
712,East
713,Jerusalem
714,","
715,2:2
716,.
717,Saying
718,:
719,born
720,king
721,Jews
722,?
723,seen
724,star
725,East
726,","
727,come
728,adore
729,.
730,2:3
731,.
732,king
733,Herod
734,hearing
735,","
736,troubled
737,","
738,Jerusalem
739,.
740,2:4
741,.
742,assembling
743,together
744,chief
745,priest
746,scribe
747,people
748,","
749,inquired
750,Christ
751,born
752,.
753,2:5
754,.
755,said
756,:
757,Bethlehem
758,Juda
759,.
760,written
761,prophet
762,:
763,2:6
764,.
765,thou
766,Bethlehem
767,land
768,Juda
769,art
770,least
771,among
772,prince
773,Juda
774,:
775,thee
776,shall
777,come
778,forth
779,captain
780,shall
781,rule
782,people
783,Israel
784,.
785,2:7
786,.
787,Herod
788,","
789,privately
790,calling
791,wise
792,men
793,learned
794,diligently
795,time
796,star
797,appeared
798,;
799,2:8
800,.
801,sending
802,Bethlehem
803,","
804,said
805,:
806,Go
807,diligently
808,inquire
809,child
810,","
811,found
812,","
813,bring
814,word
815,","
816,also
817,may
818,come
819,adore
820,.
821,2:9.
822,heard
823,king
824,","
825,went
826,way
827,;
828,behold
829,star
830,seen
831,East
832,","
833,went
834,","
835,came
836,stood
837,child
838,.
839,2:10
840,.
841,seeing
842,star
843,rejoiced
844,exceeding
845,great
846,joy
847,.
848,2:11
849,.
850,entering
851,house
852,","
853,found
854,child
855,Mary
856,mother
857,","
858,falling
859,adored
860,:
861,opening
862,treasure
863,","
864,offered
865,gift
866,;
867,gold
868,","
869,frankincense
870,","
871,myrrh
872,.
873,2:12
874,.
875,received
876,answer
877,sleep
878,return
879,Herod
880,","
881,went
882,back
883,another
884,way
885,country
886,.
887,2:13
888,.
889,departed
890,","
891,behold
892,angel
893,Lord
894,appeared
895,sleep
896,Joseph
897,","
898,saying
899,:
900,Arise
901,","
902,take
903,child
904,mother
905,","
906,fly
907,Egypt
908,:
909,shall
910,tell
911,thee
912,.
913,come
914,pas
915,Herod
916,seek
917,child
918,destroy
919,.
920,2:14.
921,arose
922,","
923,took
924,child
925,mother
926,night
927,","
928,retired
929,Egypt
930,:
931,death
932,Herod
933,:
934,2:15
935,.
936,might
937,fulfilled
938,Lord
939,spoke
940,prophet
941,","
942,saying
943,:
944,Egypt
945,called
946,son
947,.
948,2:16
949,.
950,Herod
951,perceiving
952,deluded
953,wise
954,men
955,","
956,exceeding
957,angry
958,:
959,sending
960,killed
961,menchildren
962,Bethlehem
963,","
964,border
965,thereof
966,","
967,two
968,year
969,old
970,","
971,according
972,time
973,diligently
974,inquired
975,wise
976,men
977,.
978,2:17
979,.
980,fulfilled
981,spoken
982,Jeremias
983,prophet
984,","
985,saying
986,:
987,2:18
988,.
989,voice
990,Rama
991,heard
992,","
993,lamentation
994,great
995,mourning
996,;
997,Rachel
998,bewailing
999,child
1000,","
1001,would
1002,comforted
1003,","
1004,.
1005,2:19
1006,.
1007,Herod
1008,dead
1009,","
1010,behold
1011,angel
1012,Lord
1013,appeared
1014,sleep
1015,Joseph
1016,Egypt
1017,","
1018,2:20
1019,.
1020,Saying
1021,:
1022,Arise
1023,","
1024,take
1025,child
1026,mother
1027,","
1028,go
1029,land
1030,Israel
1031,.
1032,dead
1033,sought
1034,life
1035,child
1036,.
1037,2:21.
1038,arose
1039,","
1040,took
1041,child
1042,mother
1043,","
1044,came
1045,land
1046,Israel
1047,.
1048,2:22
1049,.
1050,hearing
1051,Archelaus
1052,reigned
1053,Judea
1054,room
1055,Herod
1056,father
1057,","
1058,afraid
1059,go
1060,thither
1061,:
1062,warned
1063,sleep
1064,retired
1065,quarter
1066,Galilee
1067,.
1068,2:23
1069,.
1070,coming
