,lemmatised_John
2541,Jesus
2542,gave
2543,testimony
2544,prophet
2545,hath
2546,honour
2547,country
2548,.
2549,4:45
2550,.
2551,come
2552,Galilee
2553,","
2554,Galileans
2555,received
2556,","
2557,seen
2558,thing
2559,done
2560,Jerusalem
2561,festival
2562,day
2563,:
2564,also
2565,went
2566,festival
2567,day
2568,.
2569,4:46
2570,.
2571,came
2572,therefore
2573,Cana
2574,Galilee
2575,","
2576,made
2577,water
2578,wine
2579,.
2580,certain
2581,ruler
2582,","
2583,whose
2584,son
2585,sick
2586,Capharnaum
2587,.
2588,4:47
2589,.
2590,heard
2591,Jesus
2592,come
2593,Judea
2594,Galilee
2595,","
2596,went
2597,prayed
2598,come
2599,heal
2600,son
2601,:
2602,point
2603,death
2604,.
2605,4:48
2606,.
2607,Jesus
2608,therefore
2609,said
2610,:
2611,Unless
2612,see
2613,sign
2614,wonder
2615,","
2616,believe
2617,.
2618,4:49
2619,.
2620,ruler
2621,saith
2622,:
2623,Lord
2624,","
2625,come
2626,son
2627,die
2628,.
2629,4:50
2630,.
2631,Jesus
2632,saith
2633,:
2634,Go
2635,thy
2636,way
2637,.
2638,Thy
2639,son
2640,liveth
2641,.
2642,man
2643,believed
2644,word
2645,Jesus
2646,said
2647,went
2648,way
2649,.
2650,4:51
2651,.
2652,going
2653,","
2654,servant
2655,met
2656,:
2657,brought
2658,word
2659,","
2660,saying
2661,","
2662,son
2663,lived
2664,.
2665,4:52
2666,.
2667,asked
2668,therefore
2669,hour
2670,wherein
2671,grew
2672,better
2673,.
2674,said
2675,:
2676,Yesterday
2677,seventh
2678,hour
2679,","
2680,fever
2681,left
2682,.
2683,4:53
2684,.
2685,father
2686,therefore
2687,knew
2688,hour
2689,Jesus
2690,said
2691,:
2692,Thy
2693,son
2694,liveth
2695,.
2696,believed
2697,","
2698,whole
2699,house
2700,.
2701,4:54
2702,.
2703,second
2704,miracle
2705,Jesus
2706,","
2707,come
2708,Judea
2709,Galilee
2710,.
2711,John
2712,Chapter
2713,5
2714,Christ
2715,heals
2716,sabbath
2717,man
2718,languishing
2719,thirty-eight
2720,year
2721,.
2722,discourse
2723,upon
2724,occasion
2725,.
2726,5:1
2727,.
2728,thing
2729,festival
2730,day
2731,Jews
2732,:
2733,Jesus
2734,went
2735,Jerusalem
2736,.
2737,5:2
2738,.
2739,Jerusalem
2740,pond
2741,","
2742,called
2743,Probatica
2744,","
2745,Hebrew
2746,named
2747,Bethsaida
2748,","
2749,five
2750,porch
2751,.
2752,Probatica
2753,....
2754,","
2755,sheep
2756,pond
2757,;
2758,either
2759,called
2760,","
2761,sheep
2762,washed
2763,therein
2764,","
2765,offered
2766,sacrifice
2767,temple
2768,","
2769,near
2770,sheep
2771,gate
2772,.
2773,pond
2774,miracle
2775,wrought
2776,evident
2777,sacred
2778,text
2779,;
2780,also
2781,water
2782,natural
2783,virtue
2784,heal
2785,","
2786,one
2787,put
2788,motion
2789,water
2790,restored
2791,health
2792,;
2793,water
2794,healing
2795,quality
2796,","
2797,others
2798,would
2799,like
2800,benefit
2801,","
2802,put
2803,time
2804,.
2805,5:3
2806,.
2807,lay
2808,great
2809,multitude
2810,sick
2811,","
2812,blind
2813,","
2814,lame
2815,","
2816,withered
2817,:
2818,waiting
2819,moving
2820,water
2821,.
2822,5:4
2823,.
2824,angel
2825,Lord
2826,descended
2827,certain
2828,time
2829,pond
2830,water
2831,moved
2832,.
2833,went
2834,first
2835,pond
2836,motion
2837,water
2838,made
2839,whole
2840,whatsoever
2841,infirmity
2842,lay
2843,.
2844,5:5
2845,.
2846,certain
2847,man
2848,eight
2849,thirty
2850,year
2851,infirmity
2852,.
2853,5:6
2854,.
2855,Jesus
2856,seen
2857,lying
2858,","
2859,knew
2860,long
2861,time
2862,","
2863,saith
2864,:
2865,Wilt
2866,thou
2867,made
2868,whole
2869,?
2870,5:7
2871,.
2872,infirm
2873,man
2874,answered
2875,:
2876,Sir
2877,","
2878,man
2879,","
2880,water
2881,troubled
2882,","
2883,put
2884,pond
2885,.
2886,whilst
2887,coming
2888,","
2889,another
2890,goeth
2891,.
2892,5:8
2893,.
2894,Jesus
2895,saith
2896,:
2897,Arise
2898,","
2899,take
2900,thy
2901,bed
2902,walk
2903,.
2904,5:9
2905,.
2906,immediately
2907,man
2908,made
2909,whole
2910,:
2911,took
2912,bed
2913,walked
2914,.
2915,sabbath
2916,day
2917,.
2918,5:10
2919,.
2920,Jews
2921,therefore
2922,said
2923,healed
2924,:
2925,sabbath
2926,.
2927,lawful
2928,thee
2929,take
2930,thy
2931,bed
2932,.
2933,5:11
2934,.
2935,answered
2936,:
2937,made
2938,whole
2939,","
2940,said
2941,:
2942,Take
2943,thy
2944,bed
2945,walk
2946,.
2947,5:12
2948,.
2949,asked
2950,therefore
2951,:
2952,man
2953,said
2954,thee
2955,:
2956,Take
2957,thy
2958,bed
2959,walk
2960,?
2961,5:13
2962,.
2963,healed
2964,knew
2965,:
2966,Jesus
2967,went
2968,aside
2969,multitude
2970,standing
2971,place
2972,.
2973,5:14
2974,.
2975,Afterwards
2976,","
2977,Jesus
2978,findeth
2979,temple
2980,saith
2981,:
2982,Behold
2983,thou
2984,art
2985,made
2986,whole
2987,:
2988,sin
2989,","
2990,lest
2991,worse
2992,thing
2993,happen
2994,thee
2995,.
2996,5:15
2997,.
2998,man
2999,went
3000,way
3001,told
3002,Jews
3003,Jesus
3004,made
3005,whole
3006,.
3007,5:16
3008,.
3009,Therefore
3010,Jews
3011,persecute
3012,Jesus
3013,","
3014,thing
3015,sabbath
3016,.
3017,5:17
3018,.
3019,Jesus
3020,answered
3021,:
3022,Father
3023,worketh
3024,;
3025,work
3026,.
3027,5:18
3028,.
3029,Hereupon
3030,therefore
3031,Jews
3032,sought
3033,kill
3034,","
3035,break
3036,sabbath
3037,also
3038,said
3039,God
3040,Father
3041,","
3042,making
3043,equal
3044,God
3045,.
3046,5:19
3047,.
3048,Jesus
3049,answered
3050,said
3051,:
3052,Amen
3053,","
3054,amen
3055,","
3056,say
3057,unto
3058,","
3059,Son
3060,thing
3061,","
3062,seeth
3063,Father
3064,:
3065,thing
3066,soever
3067,doth
3068,","
3069,Son
3070,also
3071,doth
3072,like
3073,manner
3074,.
3075,5:20
3076,.
3077,Father
3078,loveth
3079,Son
3080,sheweth
3081,thing
3082,doth
3083,:
3084,greater
3085,work
3086,shew
3087,","
3088,may
3089,wonder
3090,.
3091,5:21
3092,.
3093,Father
3094,raiseth
3095,dead
3096,giveth
3097,life
3098,:
3099,Son
3100,also
3101,giveth
3102,life
3103,.
3104,5:22
3105,.
3106,neither
3107,Father
3108,judge
3109,man
3110,:
3111,hath
3112,given
3113,judgment
3114,Son
3115,.
3116,5:23
3117,.
3118,men
3119,may
3120,honour
3121,Son
3122,","
3123,honour
3124,Father
3125,.
3126,honoureth
3127,Son
3128,honoureth
3129,Father
3130,hath
3131,sent
3132,.
3133,5:24
3134,.
3135,Amen
3136,","
3137,amen
3138,","
3139,say
3140,unto
3141,heareth
3142,word
3143,believeth
3144,sent
3145,hath
3146,life
3147,everlasting
3148,:
3149,cometh
3150,judgment
3151,","
3152,passed
3153,death
3154,life
3155,.
3156,5:25
3157,.
3158,Amen
3159,","
3160,amen
3161,","
3162,say
3163,unto
3164,","
3165,hour
3166,cometh
3167,","
3168,","
3169,dead
3170,shall
3171,hear
3172,voice
3173,Son
3174,God
3175,:
3176,hear
3177,shall
3178,live
3179,.
3180,5:26
3181,.
3182,Father
3183,hath
3184,life
3185,","
3186,hath
3187,given
3188,Son
3189,also
3190,life
3191,.
3192,5:27
3193,.
3194,hath
3195,given
3196,power
3197,judgment
3198,","
3199,Son
3200,man
3201,.
3202,5:28
3203,.
3204,Wonder
3205,:
3206,hour
3207,cometh
3208,wherein
3209,graf
3210,shall
3211,hear
3212,voice
3213,Son
3214,God
3215,.
3216,5:29
3217,.
3218,done
3219,good
3220,thing
3221,shall
3222,come
3223,forth
3224,unto
3225,resurrection
3226,life
3227,:
3228,done
3229,evil
3230,","
3231,unto
3232,resurrection
3233,judgment
3234,.
3235,Unto
3236,resurrection
3237,judgment
3238,....
3239,","
3240,condemnation
3241,.
3242,5:30
3243,.
3244,thing
3245,.
3246,hear
3247,","
3248,judge
3249,.
3250,judgment
3251,:
3252,seek
3253,","
3254,sent
3255,.
3256,5:31
3257,.
3258,bear
3259,witness
3260,","
3261,witness
3262,true
3263,.
3264,5:32
3265,.
3266,another
3267,beareth
3268,witness
3269,:
3270,know
3271,witness
3272,witnesseth
3273,true
3274,.
3275,5:33
3276,.
3277,sent
3278,John
3279,:
3280,gave
3281,testimony
3282,truth
3283,.
3284,5:34
3285,.
3286,receive
3287,testimony
3288,man
3289,:
3290,say
3291,thing
3292,","
3293,may
3294,saved
3295,.
3296,5:35
3297,.
3298,burning
3299,shining
3300,light
3301,:
3302,willing
3303,time
3304,rejoice
3305,light
3306,.
3307,5:36
3308,.
3309,greater
3310,testimony
3311,John
3312,:
3313,work
3314,Father
3315,hath
3316,given
3317,perfect
3318,","
3319,work
3320,","
3321,give
3322,testimony
3323,","
3324,Father
3325,hath
3326,sent
3327,.
3328,5:37
3329,.
3330,Father
3331,hath
3332,sent
3333,hath
3334,given
3335,testimony
3336,:
3337,neither
3338,heard
3339,voice
3340,time
3341,","
3342,seen
3343,shape
3344,.
3345,5:38
3346,.
3347,word
3348,abiding
3349,:
3350,hath
3351,sent
3352,","
3353,believe
3354,.
3355,5:39
3356,.
3357,Search
3358,scripture
3359,:
3360,think
3361,life
3362,everlasting
3363,.
3364,give
3365,testimony
3366,.
3367,....
3368,search
3369,scripture
3370,.
3371,Scrutamini
3372,....
3373,command
3374,read
3375,scripture
3376,;
3377,reproach
3378,Pharisees
3379,","
3380,reading
3381,scripture
3382,","
3383,thinking
3384,find
3385,everlasting
3386,life
3387,","
3388,would
3389,receive
3390,scripture
3391,gave
3392,testimony
3393,","
3394,alone
3395,could
3396,true
3397,life
3398,.
3399,5:40
3400,.
3401,come
3402,may
3403,life
3404,.
3405,5:41
3406,.
3407,receive
3408,glory
3409,men
3410,.
3411,5:42
3412,.
3413,know
3414,","
3415,love
3416,God
3417,.
3418,5:43
3419,.
3420,come
3421,name
3422,Father
3423,","
3424,receive
3425,:
3426,another
3427,shall
3428,come
3429,name
3430,","
3431,receive
3432,.
3433,5:44
3434,.
3435,believe
3436,","
3437,receive
3438,glory
3439,one
3440,another
3441,:
3442,glory
3443,God
3444,alone
3445,","
3446,seek
3447,?
3448,5:45
3449,.
3450,Think
3451,accuse
3452,Father
3453,.
3454,one
3455,accuseth
3456,","
3457,Moses
3458,","
3459,trust
3460,.
3461,5:46
3462,.
3463,believe
3464,Moses
3465,","
3466,would
3467,perhaps
3468,believe
3469,also
3470,:
3471,wrote
3472,.
3473,5:47
3474,.
3475,believe
3476,writing
3477,","
3478,believe
3479,word
3480,?
3481,John
3482,Chapter
3483,6
3484,Christ
3485,feed
3486,five
3487,thousand
3488,five
3489,loaf
3490,.
3491,walk
3492,upon
3493,sea
3494,discourse
3495,bread
3496,life
3497,.
3498,6:1
3499,.
3500,thing
3501,Jesus
3502,went
3503,sea
3504,Galilee
3505,","
3506,Tiberias
3507,.
3508,6:2
3509,.
3510,great
3511,multitude
3512,followed
3513,","
3514,saw
3515,miracle
3516,diseased
3517,.
3518,6:3
3519,.
3520,Jesus
3521,therefore
3522,went
3523,mountain
3524,:
3525,sat
3526,disciple
3527,.
3528,6:4
3529,.
3530,pasch
3531,","
3532,festival
3533,day
3534,Jews
3535,","
3536,near
3537,hand
3538,.
3539,6:5
3540,.
3541,Jesus
3542,therefore
3543,lifted
3544,eye
3545,seen
3546,great
3547,multitude
3548,cometh
3549,","
3550,said
3551,Philip
3552,:
3553,Whence
3554,shall
3555,buy
3556,bread
3557,","
3558,may
3559,eat
3560,?
3561,6:6
3562,.
3563,said
3564,try
3565,:
3566,knew
3567,would
3568,.
3569,6:7
3570,.
3571,Philip
3572,answered
3573,:
3574,Two
3575,hundred
3576,pennyworth
3577,bread
3578,sufficient
3579,every
3580,one
3581,may
3582,take
3583,little
3584,.
3585,6:8
3586,.
3587,One
3588,disciple
3589,","
3590,Andrew
3591,","
3592,brother
3593,Simon
3594,Peter
3595,","
3596,saith
3597,:
3598,6:9
3599,.
3600,boy
3601,hath
3602,five
3603,barley
3604,loaf
3605,two
3606,fish
3607,.
3608,among
3609,many
3610,?
3611,6:10
3612,.
3613,Jesus
3614,said
3615,:
3616,Make
3617,men
3618,sit
3619,.
3620,","
3621,much
3622,grass
3623,place
3624,.
3625,men
3626,therefore
3627,sat
3628,","
3629,number
3630,five
3631,thousand
3632,.
3633,6:11
3634,.
3635,Jesus
3636,took
3637,loaf
3638,:
3639,given
3640,thanks
3641,","
3642,distributed
3643,set
3644,.
3645,like
3646,manner
3647,also
3648,fish
3649,","
3650,much
3651,would
3652,.
3653,6:12
3654,.
3655,filled
3656,","
3657,said
3658,disciple
3659,:
3660,gather
3661,fragment
3662,remain
3663,","
3664,lest
3665,lost
3666,.
3667,6:13
3668,.
3669,gathered
3670,therefore
3671,filled
3672,twelve
3673,basket
3674,fragment
3675,five
3676,barley
3677,loaf
3678,remained
3679,eaten
3680,.
3681,6:14
3682,.
3683,men
3684,","
3685,seen
3686,miracle
3687,Jesus
3688,done
3689,","
3690,said
3691,:
3692,truth
3693,prophet
3694,come
3695,world
3696,.
3697,6:15
3698,.
3699,Jesus
3700,therefore
3701,","
3702,knew
3703,would
3704,come
3705,take
3706,force
3707,make
3708,king
3709,","
3710,fled
3711,mountain
3712,alone
3713,.
3714,6:16
3715,.
3716,evening
3717,come
3718,","
3719,disciple
3720,went
3721,sea
3722,.
3723,6:17
3724,.
3725,gone
3726,ship
3727,","
3728,went
3729,sea
3730,Capharnaum
3731,.
3732,dark
3733,:
3734,Jesus
3735,come
3736,unto
3737,.
3738,6:18
3739,.
3740,sea
3741,arose
3742,","
3743,reason
3744,great
3745,wind
3746,blew
3747,.
3748,6:19
3749,.
3750,rowed
3751,therefore
3752,five
3753,twenty
3754,thirty
3755,furlong
3756,","
3757,see
3758,Jesus
3759,walking
3760,upon
3761,sea
3762,drawing
3763,nigh
3764,ship
3765,.
3766,afraid
3767,.
3768,6:20
3769,.
3770,saith
3771,:
3772,.
3773,afraid
3774,.
3775,6:21
3776,.
3777,willing
3778,therefore
3779,take
3780,ship
3781,.
3782,presently
3783,ship
3784,land
3785,going
3786,.
3787,6:22
3788,.
3789,next
3790,day
3791,","
3792,multitude
3793,stood
3794,side
3795,sea
3796,saw
3797,ship
3798,one
3799,:
3800,Jesus
3801,entered
3802,ship
3803,disciple
3804,","
3805,disciple
3806,gone
3807,away
3808,alone
3809,.
3810,6:23
3811,.
3812,ship
3813,came
3814,Tiberias
3815,","
3816,nigh
3817,unto
3818,place
3819,eaten
3820,bread
3821,","
3822,Lord
3823,giving
3824,thanks
3825,.
3826,6:24
3827,.
3828,therefore
3829,multitude
3830,saw
3831,Jesus
3832,","
3833,disciple
3834,","
3835,took
3836,shipping
3837,came
3838,Capharnaum
3839,","
3840,seeking
3841,Jesus
3842,.
3843,6:25
3844,.
3845,found
3846,side
3847,sea
3848,","
3849,said
3850,:
3851,Rabbi
3852,","
3853,camest
3854,thou
3855,hither
3856,?
3857,6:26
3858,.
3859,Jesus
3860,answered
3861,said
3862,:
3863,Amen
3864,","
3865,amen
3866,","
3867,say
3868,","
3869,seek
3870,","
3871,seen
3872,miracle
3873,","
3874,eat
3875,loaf
3876,filled
3877,.
3878,6:27
3879,.
3880,Labour
3881,meat
3882,perisheth
3883,","
3884,endureth
3885,unto
3886,life
3887,everlasting
3888,","
3889,Son
3890,man
3891,give
3892,.
3893,hath
3894,God
3895,","
3896,Father
3897,","
3898,sealed
3899,.
3900,6:28
3901,.
3902,said
3903,therefore
3904,unto
3905,:
3906,shall
3907,","
3908,may
3909,work
3910,work
3911,God
3912,?
3913,6:29
3914,.
3915,Jesus
3916,answered
3917,said
3918,:
3919,work
3920,God
3921,","
3922,believe
3923,hath
3924,sent
3925,.
3926,6:30
3927,.
3928,said
3929,therefore
3930,:
3931,sign
3932,therefore
3933,dost
3934,thou
3935,shew
3936,may
3937,see
3938,may
3939,believe
3940,thee
3941,?
3942,dost
3943,thou
3944,work
3945,?
3946,6:31
3947,.
3948,father
3949,eat
3950,manna
3951,desert
3952,","
3953,written
3954,:
3955,gave
3956,bread
3957,heaven
3958,eat
3959,.
3960,6:32
3961,.
3962,Jesus
3963,said
3964,:
3965,Amen
3966,","
3967,amen
3968,","
3969,say
3970,;
3971,Moses
3972,gave
3973,bread
3974,heaven
3975,","
3976,Father
3977,giveth
3978,true
3979,bread
3980,heaven
3981,.
3982,6:33
3983,.
3984,bread
3985,God
3986,cometh
3987,heaven
3988,giveth
3989,life
3990,world
3991,.
3992,6:34
3993,.
3994,said
3995,therefore
3996,unto
3997,:
3998,Lord
3999,","
4000,give
4001,u
4002,always
4003,bread
4004,.
4005,6:35
4006,.
4007,Jesus
4008,said
4009,:
4010,bread
4011,life
4012,.
4013,cometh
4014,shall
4015,hunger
4016,:
4017,believeth
4018,shall
4019,never
4020,thirst
4021,.
4022,6:36
4023,.
4024,said
4025,unto
4026,also
4027,seen
4028,","
4029,believe
4030,.
4031,6:37
4032,.
4033,Father
4034,giveth
4035,shall
4036,come
4037,:
4038,cometh
4039,","
4040,cast
4041,.
4042,6:38
4043,.
4044,came
4045,heaven
4046,","
4047,sent
4048,.
4049,6:39
4050,.
4051,Father
4052,sent
4053,:
4054,hath
4055,given
4056,","
4057,lose
4058,nothing
4059,;
4060,raise
4061,last
4062,day
4063,.
4064,6:40
4065,.
4066,Father
4067,sent
4068,:
4069,every
4070,one
4071,seeth
4072,Son
4073,believeth
4074,may
4075,life
4076,everlasting
4077,.
4078,raise
4079,last
4080,day
4081,.
4082,6:41
4083,.
4084,Jews
4085,therefore
4086,murmured
4087,","
4088,said
4089,:
4090,living
4091,bread
4092,came
4093,heaven
4094,.
4095,6:42
4096,.
4097,said
4098,:
4099,Jesus
4100,","
4101,son
4102,Joseph
4103,","
4104,whose
4105,father
4106,mother
4107,know
4108,?
4109,saith
4110,:
4111,came
4112,heaven
4113,?
4114,6:43
4115,.
4116,Jesus
4117,therefore
4118,answered
4119,said
4120,:
4121,Murmur
4122,among
4123,.
4124,6:44
4125,.
4126,man
4127,come
4128,","
4129,except
4130,Father
4131,","
4132,hath
4133,sent
4134,","
4135,draw
4136,.
4137,raise
4138,last
4139,day
4140,.
4141,Draw
4142,....
4143,compulsion
4144,","
4145,laying
4146,free
4147,necessity
4148,","
4149,strong
4150,sweet
4151,motion
4152,heavenly
4153,grace
4154,.
4155,6:45
4156,.
4157,written
4158,prophet
4159,:
4160,shall
4161,taught
4162,God
4163,.
4164,Every
4165,one
4166,hath
4167,heard
4168,Father
4169,hath
4170,learned
4171,cometh
4172,.
4173,6:46
4174,.
4175,man
4176,hath
4177,seen
4178,Father
4179,:
4180,God
4181,","
4182,hath
4183,seen
4184,Father
4185,.
4186,6:47
4187,.
4188,Amen
4189,","
4190,amen
4191,","
4192,say
4193,unto
4194,:
4195,believeth
4196,hath
4197,everlasting
4198,life
4199,.
4200,6:48
4201,.
4202,bread
4203,life
4204,.
4205,6:49
4206,.
4207,father
4208,eat
4209,manna
4210,desert
4211,:
4212,dead
4213,.
4214,6:50
4215,.
4216,bread
4217,cometh
4218,heaven
4219,:
4220,man
4221,eat
4222,","
4223,may
4224,die
4225,.
4226,6:51
4227,.
4228,living
4229,bread
4230,came
4231,heaven
4232,.
4233,6:52
4234,.
4235,man
4236,eat
4237,bread
4238,","
4239,shall
4240,live
4241,ever
4242,:
4243,bread
4244,give
4245,flesh
4246,","
4247,life
4248,world
4249,.
4250,6:53
4251,.
4252,Jews
4253,therefore
4254,strove
4255,among
4256,","
4257,saying
4258,:
4259,man
4260,give
4261,u
4262,flesh
4263,eat
4264,?
4265,6:54
4266,.
4267,Jesus
4268,said
4269,:
4270,Amen
4271,","
4272,amen
4273,","
4274,say
4275,unto
4276,:
4277,except
4278,eat
4279,flesh
4280,Son
4281,man
4282,drink
4283,blood
4284,","
4285,shall
4286,life
4287,.
4288,Except
4289,eat—and
4290,drink
4291,","
4292,etc
4293,....
4294,receive
4295,body
4296,blood
4297,Christ
4298,","
4299,divine
4300,precept
4301,","
4302,insinuated
4303,text
4304,;
4305,faithful
4306,fulfil
4307,","
4308,though
4309,receive
4310,one
4311,kind
4312,;
4313,one
4314,kind
4315,receive
4316,body
4317,blood
4318,","
4319,separated
4320,.
4321,Hence
4322,","
4323,life
4324,eternal
4325,promised
4326,worthy
4327,receiving
4328,","
4329,though
4330,one
4331,kind
4332,.
4333,Ver
4334,.
4335,52
4336,.
4337,man
4338,eat
4339,bread
4340,","
4341,shall
4342,live
4343,ever
4344,;
4345,bread
4346,give
4347,","
4348,flesh
4349,life
4350,world
4351,.
4352,Ver
4353,.
4354,58
4355,.
4356,eateth
4357,","
4358,also
4359,shall
4360,live
4361,.
4362,Ver
4363,.
4364,59
4365,.
4366,eateth
4367,bread
4368,","
4369,shall
4370,liver
4371,ever
4372,.
4373,6:55
4374,.
4375,eateth
4376,flesh
4377,drinketh
4378,blood
4379,hath
4380,everlasting
4381,life
4382,:
4383,raise
4384,last
4385,day
4386,.
4387,6:56
4388,.
4389,flesh
4390,meat
4391,indeed
4392,:
4393,blood
4394,drink
4395,indeed
4396,.
4397,6:57
4398,.
4399,eateth
4400,flesh
4401,drinketh
4402,blood
4403,abideth
4404,:
4405,.
4406,6:58
4407,.
4408,living
4409,Father
4410,hath
4411,sent
4412,live
4413,Father
4414,:
4415,eateth
4416,","
4417,also
4418,shall
4419,live
4420,.
4421,6:59
4422,.
4423,bread
4424,came
4425,heaven
4426,.
4427,father
4428,eat
4429,manna
4430,dead
4431,.
4432,eateth
4433,bread
4434,shall
4435,live
4436,ever
4437,.
4438,6:60
4439,.
4440,thing
4441,said
4442,","
4443,teaching
4444,synagogue
4445,","
4446,Capharnaum
4447,.
4448,6:61
4449,.
4450,Many
4451,therefore
4452,disciple
4453,","
4454,hearing
4455,","
4456,said
4457,:
4458,saying
4459,hard
4460,;
4461,hear
4462,?
4463,6:62
4464,.
4465,Jesus
4466,","
4467,knowing
4468,disciple
4469,murmured
4470,","
4471,said
4472,:
4473,Doth
4474,scandalize
4475,?
4476,6:63
4477,.
4478,shall
4479,see
4480,Son
4481,man
4482,ascend
4483,?
4484,shall
4485,see
4486,","
4487,etc
4488,....
4489,Christ
4490,mentioning
4491,ascension
4492,","
4493,instance
4494,power
4495,divinity
4496,","
4497,would
4498,confirm
4499,truth
4500,asserted
4501,;
4502,time
4503,correct
4504,gross
4505,apprehension
4506,eating
4507,flesh
4508,","
4509,drinking
4510,blood
4511,","
4512,vulgar
4513,carnal
4514,manner
4515,","
4516,letting
4517,know
4518,take
4519,whole
4520,body
4521,living
4522,heaven
4523,;
4524,consequently
4525,suffer
4526,supposed
4527,","
4528,divided
4529,","
4530,mangled
4531,","
4532,consumed
4533,upon
4534,earth
4535,.
4536,6:64
4537,.
4538,spirit
4539,quickeneth
4540,:
4541,flesh
4542,profiteth
4543,nothing
4544,.
4545,word
4546,spoken
4547,spirit
4548,life
4549,.
4550,flesh
4551,profiteth
4552,nothing
4553,....
4554,Dead
4555,flesh
4556,separated
4557,spirit
4558,","
4559,gross
4560,manner
4561,supposed
4562,eat
4563,flesh
4564,","
4565,would
4566,profit
4567,nothing
4568,.
4569,Neither
4570,doth
4571,man
4572,’
4573,flesh
4574,","
4575,say
4576,","
4577,man
4578,’
4579,natural
4580,carnal
4581,apprehension
4582,","
4583,(
4584,refuse
4585,subject
4586,spirit
4587,","
4588,word
4589,Christ
4590,","
4591,)
4592,profit
4593,thing
4594,.
4595,would
4596,height
4597,blasphemy
4598,","
4599,say
4600,living
4601,flesh
4602,Christ
4603,(
4604,receive
4605,blessed
4606,sacarament
4607,","
4608,spirit
4609,","
4610,","
4611,soul
4612,divinity
4613,)
4614,profiteth
4615,nothing
4616,.
4617,Christ
4618,’
4619,flesh
4620,profitedus
4621,nothing
4622,","
4623,would
4624,never
4625,taken
4626,flesh
4627,u
4628,","
4629,died
4630,u
4631,nothing
4632,","
4633,would
4634,never
4635,taken
4636,flesh
4637,u
4638,","
4639,died
4640,flesh
4641,u
4642,.
4643,spirit
4644,life
4645,....
4646,proposing
4647,heavenly
4648,sacrament
4649,","
4650,shall
4651,receive
4652,","
4653,wonderful
4654,manner
4655,","
4656,spirit
4657,","
4658,grace
4659,","
4660,life
4661,","
4662,fountain
4663,.
4664,6:65
4665,.
4666,believe
4667,.
4668,Jesus
4669,knew
4670,beginning
4671,believe
4672,would
4673,betray
4674,.
4675,6:66
4676,.
4677,said
4678,:
4679,Therefore
4680,say
4681,man
4682,come
4683,","
4684,unless
4685,given
4686,Father
4687,.
4688,6:67
4689,.
4690,","
4691,many
4692,disciple
4693,went
4694,back
4695,walked
4696,.
4697,6:68
4698,.
4699,Jesus
4700,said
4701,twelve
4702,:
4703,also
4704,go
4705,away
4706,?
4707,6:69
4708,.
4709,Simon
4710,Peter
4711,answered
4712,:
4713,Lord
4714,","
4715,shall
4716,go
4717,?
4718,Thou
4719,hast
4720,word
4721,eternal
4722,life
4723,.
4724,6:70
4725,.
4726,believed
4727,known
4728,thou
4729,art
4730,Christ
4731,","
4732,Son
4733,God
4734,.
4735,6:71
4736,.
4737,Jesus
4738,answered
4739,:
4740,chosen
4741,twelve
4742,?
4743,one
4744,devil
4745,.
4746,6:72
4747,.
4748,meant
4749,Judas
4750,Iscariot
4751,","
4752,son
4753,Simon
4754,:
4755,betray
4756,","
4757,whereas
4758,one
4759,twelve
4760,.
4761,John
4762,Chapter
4763,7
4764,Christ
4765,go
4766,feast
4767,tabernacle
4768,.
4769,teach
4770,temple
4771,.
4772,7:1
4773,.
4774,thing
4775,","
4776,Jesus
4777,walked
4778,Galilee
4779,:
4780,would
4781,walk
4782,Judea
4783,","
4784,Jews
4785,sought
4786,kill
4787,.
4788,7:2
4789,.
4790,Jews
4791,feast
4792,tabernacle
4793,hand
4794,.
4795,7:3
4796,.
4797,brother
4798,said
4799,","
4800,:
4801,Pass
4802,hence
4803,go
4804,Judea
4805,","
4806,thy
4807,disciple
4808,also
4809,may
4810,see
4811,thy
4812,work
4813,thou
4814,dost
4815,.
4816,7:4
4817,.
4818,man
4819,doth
4820,thing
4821,secret
4822,","
4823,seeketh
4824,known
4825,openly
4826,.
4827,thou
4828,thing
4829,","
4830,manifest
4831,thyself
4832,world
4833,.
4834,7:5
4835,.
4836,neither
4837,brother
4838,believe
4839,.
4840,7:6
4841,.
4842,Jesus
4843,said
4844,:
4845,time
4846,yet
4847,come
4848,;
4849,time
4850,always
4851,ready
4852,.
4853,7:7
4854,.
4855,world
4856,hate
4857,:
4858,hateth
4859,","
4860,give
4861,testimony
4862,","
4863,work
4864,thereof
4865,evil
4866,","
4867,7:8
4868,.
4869,Go
4870,festival
4871,day
4872,:
4873,go
4874,festival
4875,day
4876,","
4877,time
4878,accomplished
4879,.
4880,7:9
4881,.
4882,said
4883,thing
4884,","
4885,stayed
4886,Galilee
4887,.
4888,7:10
4889,.
4890,brother
4891,gone
4892,","
4893,also
4894,went
4895,feast
4896,","
4897,openly
4898,","
4899,","
4900,","
4901,secret
4902,.
4903,7:11
4904,.
4905,Jews
4906,therefore
4907,sought
4908,festival
4909,day
4910,said
4911,:
4912,?
4913,7:12
4914,.
4915,much
4916,murmuring
4917,among
4918,multitude
4919,concerning
4920,.
4921,said
4922,:
4923,good
4924,man
4925,.
4926,others
4927,said
4928,:
4929,","
4930,seduceth
4931,people
4932,.
4933,7:13
4934,.
4935,Yet
4936,man
4937,spoke
4938,openly
