,lemmatised_John
652,Jesus
653,looking
654,upon
655,","
656,said
657,:
658,Thou
659,art
660,Simon
661,son
662,Jona
663,.
664,Thou
665,shalt
666,called
667,Cephas
668,","
669,interpreted
670,Peter
671,.
672,1:43
673,.
674,following
675,day
676,","
677,would
678,go
679,forth
680,Galilee
681,:
682,findeth
683,Philip
684,","
685,Jesus
686,saith
687,:
688,follow
689,.
690,1:44
691,.
692,Philip
693,Bethsaida
694,","
695,city
696,Andrew
697,Peter
698,.
699,1:45
700,.
701,Philip
702,findeth
703,Nathanael
704,saith
705,:
706,found
707,Moses
708,","
709,law
710,prophet
711,write
712,","
713,Jesus
714,son
715,Joseph
716,Nazareth
717,.
718,1:46
719,.
720,Nathanael
721,said
722,:
723,thing
724,good
725,come
726,Nazareth
727,?
728,Philip
729,saith
730,:
731,Come
732,see
733,.
734,1:47
735,.
736,Jesus
737,saw
738,Nathanael
739,coming
740,saith
741,:
742,Behold
743,Israelite
744,indeed
745,","
746,guile
747,.
748,1:48
749,.
750,Nathanael
751,saith
752,:
753,Whence
754,knowest
755,thou
756,?
757,Jesus
758,answered
759,said
760,:
761,Philip
762,called
763,thee
764,","
765,thou
766,wast
767,fig
768,tree
769,","
770,saw
771,thee
772,.
773,1:49
774,.
775,Nathanael
776,answered
777,said
778,:
779,Rabbi
780,:
781,Thou
782,art
783,Son
784,God
785,.
786,Thou
787,art
788,King
789,Israel
790,.
791,1:50
792,.
793,Jesus
794,answered
795,said
796,:
797,said
798,unto
799,thee
800,","
801,saw
802,thee
803,fig
804,tree
805,","
806,thou
807,believest
808,:
809,greater
810,thing
811,shalt
812,thou
813,see
814,.
815,1:51
816,.
817,saith
818,:
819,Amen
820,","
821,amen
822,","
823,say
824,","
825,shall
826,see
827,heaven
828,opened
829,angel
830,God
831,ascending
832,descending
833,upon
834,Son
835,man
836,.
837,John
838,Chapter
839,2
840,Christ
841,change
842,water
843,wine
844,.
845,cast
846,seller
847,temple
848,.
849,2:1
850,.
851,third
852,day
853,","
854,marriage
855,Cana
856,Galilee
857,:
858,mother
859,Jesus
860,.
861,2:2
862,.
863,Jesus
864,also
865,invited
866,","
867,disciple
868,","
869,marriage
870,.
871,2:3
872,.
873,wine
874,failing
875,","
876,mother
877,Jesus
878,saith
879,:
880,wine
881,.
882,2:4
883,.
884,Jesus
885,saith
886,:
887,Woman
888,","
889,thee
890,?
891,hour
892,yet
893,come
894,.
895,","
896,etc
897,....
898,word
899,Saviour
900,","
901,spoken
902,mother
903,","
904,understood
905,commentator
906,harsh
907,","
908,considering
909,next
910,following
911,verse
912,:
913,Whatsoever
914,shall
915,say
916,","
917,ye
918,","
919,plainly
920,show
921,mother
922,knew
923,miracle
924,perform
925,","
926,request
927,wrought
928,;
929,besides
930,manner
931,speaking
932,word
933,tone
934,","
935,countenance
936,shown
937,time
938,","
939,could
940,known
941,present
942,","
943,followed
944,:
945,word
946,indicating
947,anger
948,one
949,tone
950,voice
951,","
952,would
953,understood
954,quite
955,reverse
956,another
957,.
958,2:5
959,.
960,mother
961,saith
962,waiter
963,:
964,Whatsoever
965,shall
966,say
967,","
968,ye
969,.
970,2:6
971,.
972,set
973,six
974,waterpots
975,stone
976,","
977,according
978,manner
979,purifying
980,Jews
981,","
982,containing
983,two
984,three
985,measure
986,apiece
987,.
988,2:7
989,.
990,Jesus
991,saith
992,:
993,Fill
994,waterpots
995,water
996,.
997,filled
998,brim
999,.
1000,2:8
1001,.
1002,Jesus
1003,saith
1004,:
1005,Draw
1006,carry
1007,chief
1008,steward
1009,feast
1010,.
1011,carried
1012,.
1013,2:9
1014,.
1015,chief
1016,steward
1017,tasted
1018,water
1019,made
1020,wine
1021,knew
1022,whence
1023,","
1024,waiter
1025,knew
1026,drawn
1027,water
1028,:
1029,chief
1030,steward
1031,calleth
1032,bridegroom
1033,","
1034,2:10
1035,.
1036,saith
1037,:
1038,Every
1039,man
1040,first
1041,setteth
1042,forth
1043,good
1044,wine
1045,","
1046,men
1047,well
1048,drunk
1049,","
1050,worse
1051,.
1052,thou
1053,hast
1054,kept
1055,good
1056,wine
1057,.
1058,2:11
1059,.
1060,beginning
1061,miracle
1062,Jesus
1063,Cana
1064,Galilee
1065,manifested
1066,glory
1067,.
1068,disciple
1069,believed
1070,.
1071,2:12
1072,.
1073,","
1074,went
1075,Capharnaum
1076,","
1077,mother
1078,brother
1079,disciple
1080,:
1081,remained
1082,many
1083,day
1084,.
1085,2:13
1086,.
1087,pasch
1088,Jews
1089,hand
1090,:
1091,Jesus
1092,went
1093,Jerusalem
1094,.
1095,2:14
1096,.
1097,found
1098,temple
1099,sold
1100,ox
1101,sheep
1102,dove
1103,","
1104,changer
1105,money
1106,sitting
1107,.
1108,2:15
1109,.
1110,made
1111,","
1112,","
1113,scourge
1114,little
1115,cord
1116,","
1117,drove
1118,temple
1119,","
1120,sheep
1121,also
1122,ox
1123,:
1124,money
1125,changer
1126,poured
1127,","
1128,table
1129,overthrew
1130,.
1131,2:16
1132,.
1133,sold
