,lemmatised_Mark
2551,:
2552,Go
2553,thy
2554,house
2555,thy
2556,friend
2557,","
2558,tell
2559,great
2560,thing
2561,Lord
2562,hath
2563,done
2564,thee
2565,","
2566,hath
2567,mercy
2568,thee
2569,.
2570,5:20
2571,.
2572,went
2573,way
2574,","
2575,began
2576,publish
2577,Decapolis
2578,great
2579,thing
2580,Jesus
2581,done
2582,:
2583,men
2584,wondered
2585,.
2586,5:21
2587,.
2588,Jesus
2589,passed
2590,ship
2591,strait
2592,","
2593,great
2594,multitude
2595,assembled
2596,together
2597,unto
2598,","
2599,nigh
2600,unto
2601,sea
2602,.
2603,5:22
2604,.
2605,cometh
2606,one
2607,ruler
2608,synagogue
2609,named
2610,Jairus
2611,:
2612,seeing
2613,","
2614,falleth
2615,foot
2616,.
2617,5:23
2618,.
2619,besought
2620,much
2621,","
2622,saying
2623,:
2624,daughter
2625,point
2626,death
2627,","
2628,come
2629,","
2630,lay
2631,thy
2632,hand
2633,upon
2634,","
2635,may
2636,safe
2637,","
2638,may
2639,live
2640,.
2641,5:24
2642,.
2643,went
2644,","
2645,great
2646,multitude
2647,followed
2648,","
2649,thronged
2650,.
2651,5:25
2652,.
2653,woman
2654,issue
2655,blood
2656,twelve
2657,year
2658,","
2659,5:26
2660,.
2661,suffered
2662,many
2663,thing
2664,many
2665,physician
2666,;
2667,spent
2668,","
2669,nothing
2670,better
2671,","
2672,rather
2673,worse
2674,","
2675,5:27
2676,.
2677,heard
2678,Jesus
2679,","
2680,came
2681,crowd
2682,behind
2683,","
2684,touched
2685,garment
2686,.
2687,5:28
2688,.
2689,said
2690,:
2691,shall
2692,touch
2693,garment
2694,","
2695,shall
2696,whole
2697,.
2698,5:29
2699,.
2700,forthwith
2701,fountain
2702,blood
2703,dried
2704,","
2705,felt
2706,body
2707,healed
2708,evil
2709,.
2710,5:30
2711,.
2712,immediately
2713,Jesus
2714,knowing
2715,virtue
2716,proceeded
2717,","
2718,turning
2719,multitude
2720,","
2721,said
2722,:
2723,hath
2724,touched
2725,garment
2726,?
2727,5:31
2728,.
2729,disciple
2730,said
2731,:
2732,Thou
2733,seest
2734,multitude
2735,thronging
2736,thee
2737,","
2738,sayest
2739,thou
2740,hath
2741,touched
2742,?
2743,5:32
2744,.
2745,looked
2746,see
2747,done
2748,.
2749,5:33
2750,.
2751,woman
2752,fearing
2753,trembling
2754,","
2755,knowing
2756,done
2757,","
2758,came
2759,fell
2760,","
2761,told
2762,truth
2763,.
2764,5:34
2765,.
2766,said
2767,:
2768,Daughter
2769,","
2770,thy
2771,faith
2772,hath
2773,made
2774,thee
2775,whole
2776,:
2777,go
2778,peace
2779,","
2780,thou
2781,whole
2782,thy
2783,disease
2784,.
2785,5:35
2786,.
2787,yet
2788,speaking
2789,","
2790,come
2791,ruler
2792,synagogue
2793,’
2794,house
2795,","
2796,saying
2797,:
2798,Thy
2799,daughter
2800,dead
2801,:
2802,dost
2803,thou
2804,trouble
2805,master
2806,?
2807,5:36
2808,.
2809,Jesus
2810,heard
2811,word
2812,spoken
2813,","
2814,saith
2815,ruler
2816,synagogue
2817,:
2818,Fear
2819,","
2820,believe
2821,.
2822,5:37
2823,.
2824,admitted
2825,man
2826,follow
2827,","
2828,Peter
2829,","
2830,James
2831,","
2832,John
2833,brother
2834,James
2835,.
2836,5:38
2837,.
2838,come
2839,house
2840,ruler
2841,synagogue
2842,;
2843,seeth
2844,tumult
2845,","
2846,people
2847,weeping
2848,wailing
2849,much
2850,.
2851,5:39
2852,.
2853,going
2854,","
2855,saith
2856,make
2857,ado
2858,","
2859,weep
2860,?
2861,damsel
2862,dead
2863,","
2864,sleepeth
2865,.
2866,5:40
2867,.
2868,laughed
2869,scorn
2870,.
2871,put
2872,","
2873,taketh
2874,father
2875,mother
2876,damsel
2877,","
2878,","
2879,entereth
2880,damsel
2881,lying
2882,.
2883,5:41
2884,.
2885,taking
2886,damsel
2887,hand
2888,","
2889,saith
2890,:
2891,Talitha
2892,cumi
2893,","
2894,","
2895,interpreted
2896,:
2897,Damsel
2898,(
2899,say
2900,thee
2901,)
2902,arise
2903,.
2904,5:42
2905,.
2906,immediately
2907,damsel
2908,rose
2909,","
2910,walked
2911,:
2912,twelve
2913,year
2914,old
2915,:
2916,astonished
2917,great
2918,astonishment
2919,.
2920,5:43
2921,.
2922,charged
2923,strictly
2924,man
2925,know
2926,:
2927,commanded
2928,something
2929,given
2930,eat
2931,.
2932,Mark
2933,Chapter
2934,6
2935,Christ
2936,teach
2937,Nazareth
2938,:
2939,sends
2940,forth
2941,twelve
2942,apostle
2943,:
2944,feed
2945,five
2946,thousand
2947,five
2948,loaf
2949,;
2950,walk
2951,upon
2952,sea
2953,.
2954,6:1
2955,.
2956,going
2957,thence
2958,","
2959,went
2960,country
2961,;
2962,disciple
2963,followed
2964,.
2965,6:2
2966,.
2967,Sabbath
2968,come
2969,","
2970,began
2971,teach
2972,synagogue
2973,:
2974,many
2975,hearing
2976,admiration
2977,doctrine
2978,","
2979,saying
2980,:
2981,came
2982,man
2983,thing
2984,?
2985,wisdom
2986,given
2987,","
2988,mighty
2989,work
2990,wrought
2991,hand
2992,?
2993,6:3
2994,.
2995,carpenter
2996,","
2997,son
2998,Mary
2999,","
3000,brother
3001,James
3002,","
3003,Joseph
3004,","
3005,Jude
3006,","
3007,Simon
3008,?
3009,also
3010,sister
3011,u
3012,?
3013,scandalized
3014,regard
3015,.
3016,6:4
3017,.
3018,Jesus
3019,said
3020,:
3021,prophet
3022,without
3023,honour
3024,","
3025,country
3026,","
3027,house
3028,","
3029,among
3030,kindred
3031,.
3032,6:5
3033,.
3034,could
3035,miracle
3036,","
3037,cured
3038,sick
3039,","
3040,laying
3041,hand
3042,upon
3043,.
3044,could
3045,....
3046,want
3047,power
3048,","
3049,would
3050,work
3051,miracle
3052,favour
3053,obstinate
3054,incredulous
3055,people
3056,","
3057,unworthy
3058,favour
3059,.
3060,6:6
3061,.
3062,wondered
3063,unbelief
3064,","
3065,went
3066,village
3067,round
3068,teaching
3069,.
3070,6:7
3071,.
3072,called
3073,twelve
3074,;
3075,began
3076,send
3077,two
3078,two
3079,","
3080,gave
3081,power
3082,unclean
3083,spirit
3084,.
3085,6:8
3086,.
3087,commanded
3088,take
3089,nothing
3090,way
3091,","
3092,staff
3093,;
3094,scrip
3095,","
3096,bread
3097,","
3098,money
3099,purse
3100,","
3101,6:9
3102,.
3103,shod
3104,sandal
3105,","
3106,put
3107,two
3108,coat
3109,.
3110,6:10
3111,.
3112,said
3113,:
3114,Wheresoever
3115,shall
3116,enter
3117,house
3118,","
3119,abide
3120,till
3121,depart
3122,place
3123,.
3124,6:11
3125,.
3126,whosoever
3127,shall
3128,receive
3129,","
3130,hear
3131,;
3132,going
3133,forth
3134,thence
3135,","
3136,shake
3137,dust
3138,foot
3139,testimony
3140,.
3141,6:12
3142,.
3143,going
3144,forth
3145,preached
3146,men
3147,penance
3148,:
3149,6:13
3150,.
3151,cast
3152,many
3153,devil
3154,","
3155,anointed
3156,oil
3157,many
3158,sick
3159,","
3160,healed
3161,.
3162,6:14
3163,.
3164,king
3165,Herod
3166,heard
3167,","
3168,(
3169,name
3170,made
3171,manifest
3172,","
3173,)
3174,said
3175,:
3176,John
3177,Baptist
3178,risen
3179,dead
3180,","
3181,therefore
3182,mighty
3183,work
3184,shew
3185,forth
3186,.
3187,6:15
3188,.
3189,others
3190,said
3191,:
3192,Elias
3193,.
3194,others
3195,said
3196,:
3197,prophet
3198,","
3199,one
3200,prophet
3201,.
3202,6:16
3203,.
3204,Herod
3205,hearing
3206,","
3207,said
3208,:
3209,John
3210,beheaded
3211,","
3212,risen
3213,dead
3214,.
3215,6:17
3216,.
3217,Herod
3218,sent
3219,apprehended
3220,John
3221,","
3222,bound
3223,prison
3224,sake
3225,Herodias
3226,wife
3227,Philip
3228,brother
3229,","
3230,married
3231,.
3232,6:18
3233,.
3234,John
3235,said
3236,Herod
3237,:
3238,lawful
3239,thee
3240,thy
3241,brother
3242,’
3243,wife
3244,.
3245,6:19
3246,.
3247,Herodias
3248,laid
3249,snare
3250,:
3251,desirous
3252,put
3253,death
3254,could
3255,.
3256,6:20
3257,.
3258,Herod
3259,feared
3260,John
3261,","
3262,knowing
3263,holy
3264,man
3265,:
3266,kept
3267,","
3268,heard
3269,","
3270,many
3271,thing
3272,:
3273,heard
3274,willingly
3275,.
3276,kept
3277,....
3278,","
3279,design
3280,Herodias
3281,;
3282,fear
3283,people
3284,","
3285,would
3286,put
3287,death
3288,","
3289,though
3290,sought
3291,;
3292,daughter
3293,effected
3294,wish
3295,.
3296,6:21
3297,.
3298,convenient
3299,day
3300,come
3301,","
3302,Herod
3303,made
3304,supper
3305,birthday
3306,","
3307,prince
3308,","
3309,tribune
3310,","
3311,chief
3312,men
3313,Galilee
3314,.
3315,6:22
3316,.
3317,daughter
3318,Herodias
3319,come
3320,","
3321,danced
3322,","
3323,pleased
3324,Herod
3325,","
3326,table
3327,","
3328,king
3329,said
3330,damsel
3331,:
3332,Ask
3333,thou
3334,wilt
3335,","
3336,give
3337,thee
3338,.
3339,6:23
3340,.
3341,swore
3342,:
3343,Whatsoever
3344,thou
3345,shalt
3346,ask
3347,give
3348,thee
3349,","
3350,though
3351,half
3352,kingdom
3353,.
3354,6:24.
3355,gone
3356,","
3357,said
3358,mother
3359,","
3360,shall
3361,ask
3362,?
3363,said
3364,:
3365,head
3366,John
3367,Baptist
3368,.
3369,6:25
3370,.
3371,come
3372,immediately
3373,haste
3374,king
3375,","
3376,asked
3377,","
3378,saying
3379,:
3380,forthwith
3381,thou
3382,give
3383,dish
3384,","
3385,head
3386,John
3387,Baptist
3388,.
3389,6:26
3390,.
3391,king
3392,struck
3393,sad
3394,.
3395,Yet
3396,oath
3397,","
3398,table
3399,","
3400,would
3401,displease
3402,:
3403,6:27
3404,.
3405,sending
3406,executioner
3407,","
3408,commanded
3409,head
3410,brought
3411,dish
3412,.
3413,6:28
3414,.
3415,beheaded
3416,prison
3417,","
3418,brought
3419,head
3420,dish
3421,:
3422,gave
3423,damsel
3424,","
3425,damsel
3426,gave
3427,mother
3428,.
3429,6:29
3430,.
3431,disciple
3432,hearing
3433,came
3434,","
3435,took
3436,body
3437,","
3438,laid
3439,tomb
3440,.
3441,6:30
3442,.
3443,apostle
3444,coming
3445,together
3446,unto
3447,Jesus
3448,","
3449,related
3450,thing
3451,done
3452,taught
3453,.
3454,6:31
3455,.
3456,said
3457,:
3458,Come
3459,apart
3460,desert
3461,place
3462,","
3463,rest
3464,little
3465,.
3466,many
3467,coming
3468,going
3469,:
3470,much
3471,time
3472,eat
3473,.
3474,6:32
3475,.
3476,going
3477,ship
3478,","
3479,went
3480,desert
3481,place
3482,apart
3483,.
3484,6:33
3485,.
3486,saw
3487,going
3488,away
3489,","
3490,many
3491,knew
3492,:
3493,ran
3494,flocking
3495,thither
3496,foot
3497,city
3498,","
3499,.
3500,6:34
3501,.
3502,Jesus
3503,going
3504,saw
3505,great
3506,multitude
3507,:
3508,compassion
3509,","
3510,sheep
3511,shepherd
3512,","
3513,began
3514,teach
3515,many
3516,thing
3517,.
3518,6:35
3519,.
3520,day
3521,far
3522,spent
3523,","
3524,disciple
3525,came
3526,","
3527,saying
3528,:
3529,desert
3530,place
3531,","
3532,hour
3533,past
3534,:
3535,6:36
3536,.
3537,Send
3538,away
3539,","
3540,going
3541,next
3542,village
3543,town
3544,","
3545,may
3546,buy
3547,meat
3548,eat
3549,.
3550,6:37
3551,.
3552,answering
3553,said
3554,:
3555,Give
3556,eat
3557,.
3558,said
3559,:
3560,Let
3561,u
3562,go
3563,buy
3564,bread
3565,two
3566,hundred
3567,penny
3568,","
3569,give
3570,eat
3571,.
3572,6:38
3573,.
3574,saith
3575,:
3576,many
3577,loaf
3578,?
3579,go
3580,see
3581,.
3582,knew
3583,","
3584,say
3585,:
3586,Five
3587,","
3588,two
3589,fish
3590,.
3591,6:39
3592,.
3593,commanded
3594,make
3595,sit
3596,company
3597,upon
3598,green
3599,grass
3600,.
3601,6:40
3602,.
3603,sat
3604,rank
3605,","
3606,hundred
3607,fifty
3608,.
3609,6:41
3610,.
3611,taken
3612,five
3613,loaf
3614,","
3615,two
3616,fish
3617,:
3618,looking
3619,heaven
3620,","
3621,blessed
3622,","
3623,broke
3624,loaf
3625,","
3626,gave
3627,disciple
3628,set
3629,:
3630,two
3631,fish
3632,divided
3633,among
3634,.
3635,6:42
3636,.
3637,eat
3638,","
3639,fill
3640,.
3641,6:43
3642,.
3643,took
3644,leaving
3645,","
3646,twelve
3647,full
3648,basket
3649,fragment
3650,","
3651,fish
3652,.
3653,6:44
3654,.
3655,eat
3656,","
3657,five
3658,thousand
3659,men
3660,.
3661,6:45
3662,.
3663,immediately
3664,obliged
3665,disciple
3666,go
3667,ship
3668,","
3669,might
3670,go
3671,water
3672,Bethsaida
3673,","
3674,whilst
3675,dismissed
3676,people
3677,.
3678,6:46
3679,.
3680,dismissed
3681,","
3682,went
3683,mountain
3684,pray
3685,","
3686,6:47
3687,.
3688,late
3689,","
3690,ship
3691,midst
3692,sea
3693,","
3694,alone
3695,land
3696,.
3697,6:48
3698,.
3699,seeing
3700,labouring
3701,rowing
3702,","
3703,(
3704,wind
3705,","
3706,)
3707,fourth
3708,watch
3709,night
3710,","
3711,cometh
3712,walking
3713,upon
3714,sea
3715,","
3716,would
3717,passed
3718,.
3719,6:49
3720,.
3721,seeing
3722,walking
3723,upon
3724,sea
3725,","
3726,thought
3727,apparition
3728,","
3729,cried
3730,.
3731,6:50
3732,.
3733,saw
3734,","
3735,troubled
3736,.
3737,immediately
3738,spoke
3739,","
3740,said
3741,:
3742,good
3743,heart
3744,","
3745,","
3746,fear
3747,ye
3748,.
3749,6:51
3750,.
3751,went
3752,ship
3753,","
3754,wind
3755,ceased
3756,:
3757,far
3758,astonished
3759,within
3760,:
3761,6:52
3762,.
3763,understood
3764,concerning
3765,loaf
3766,;
3767,heart
3768,blinded
3769,.
3770,6:53
3771,.
3772,passed
3773,","
3774,came
3775,land
3776,Genezareth
3777,","
3778,set
3779,shore
3780,.
3781,6:54
3782,.
3783,gone
3784,ship
3785,","
3786,immediately
3787,knew
3788,:
3789,6:55
3790,.
3791,running
3792,whole
3793,country
3794,","
3795,began
3796,carry
3797,bed
3798,sick
3799,","
3800,heard
3801,.
3802,6:56
3803,.
3804,whithersoever
3805,entered
3806,","
3807,town
3808,village
3809,city
3810,","
3811,laid
3812,sick
3813,street
3814,","
3815,besought
3816,might
3817,touch
3818,hem
3819,garment
3820,:
3821,many
3822,touched
3823,made
3824,whole
3825,.
3826,Mark
3827,Chapter
3828,7
3829,Christ
3830,rebuke
3831,Pharisees
3832,.
3833,heals
3834,daughter
3835,woman
3836,Chanaan
3837,;
3838,man
3839,deaf
3840,dumb
3841,.
3842,7:1
3843,.
3844,assembled
3845,together
3846,unto
3847,Pharisees
3848,scribe
3849,","
3850,coming
3851,Jerusalem
3852,.
3853,7:2
3854,.
3855,seen
3856,disciple
3857,eat
3858,bread
3859,common
3860,","
3861,","
3862,unwashed
3863,hand
3864,","
3865,found
3866,fault
3867,.
3868,7:3
3869,.
3870,Pharisees
3871,Jews
3872,eat
3873,without
3874,often
3875,washing
3876,hand
3877,","
3878,holding
3879,tradition
3880,ancient
3881,.
3882,7:4
3883,.
3884,come
3885,market
3886,","
3887,unless
3888,washed
3889,","
3890,eat
3891,:
3892,many
3893,thing
3894,delivered
3895,observe
3896,","
3897,washing
3898,cup
3899,pot
3900,brazen
3901,vessel
3902,bed
3903,.
3904,7:5
3905,.
3906,Pharisees
3907,scribe
3908,asked
3909,:
3910,thy
3911,disciple
3912,walk
3913,according
3914,tradition
3915,ancient
3916,","
3917,eat
3918,bread
3919,common
3920,hand
3921,?
3922,7:6
3923,.
3924,answering
3925,","
3926,said
3927,:
3928,Well
3929,Isaias
3930,prophesy
3931,hypocrite
3932,","
3933,written
3934,:
3935,people
3936,honoureth
3937,lip
3938,","
3939,heart
3940,far
3941,.
3942,7:7
3943,.
3944,vain
3945,worship
3946,","
3947,teaching
3948,doctrine
3949,precept
3950,men
3951,.
3952,Doctrines
3953,precept
3954,men
3955,....
3956,See
3957,annotation
3958,","
3959,Matt
3960,.
3961,15
3962,.
3963,9
3964,","
3965,11
3966,.
3967,7:8
3968,.
3969,leaving
3970,commandment
3971,God
3972,","
3973,hold
3974,tradition
3975,men
3976,","
3977,washing
3978,pot
3979,cup
3980,:
3981,many
3982,thing
3983,like
3984,.
3985,7:9
3986,.
3987,said
3988,:
3989,Well
3990,make
3991,void
3992,commandment
3993,God
3994,","
3995,may
3996,keep
3997,tradition
3998,.
3999,7:10
4000,.
4001,Moses
4002,said
4003,:
4004,Honour
4005,thy
4006,father
4007,thy
4008,mother
4009,.
4010,shall
4011,curse
4012,father
4013,mother
4014,","
4015,dying
4016,let
4017,die
4018,.
4019,7:11
4020,.
4021,say
4022,:
4023,man
4024,shall
4025,say
4026,father
4027,mother
4028,","
4029,Corban
4030,(
4031,gift
4032,)
4033,whatsoever
4034,shall
4035,profit
4036,thee
4037,.
4038,7:12
4039,.
4040,suffer
4041,thing
4042,father
4043,mother
4044,","
4045,7:13
4046,.
4047,Making
4048,void
4049,word
4050,God
4051,tradition
4052,","
4053,given
4054,forth
4055,.
4056,many
4057,like
4058,thing
4059,.
4060,7:14
4061,.
4062,calling
4063,multitude
4064,unto
4065,","
4066,said
4067,:
4068,Hear
4069,ye
4070,understand
4071,.
4072,7:15
4073,.
4074,nothing
4075,without
4076,man
4077,entering
4078,defile
4079,.
4080,thing
4081,come
4082,man
4083,","
4084,defile
4085,man
4086,.
4087,7:16
4088,.
4089,man
4090,ear
4091,hear
4092,","
4093,let
4094,hear
4095,.
4096,7:17
4097,.
4098,come
4099,house
4100,multitude
4101,","
4102,disciple
4103,asked
4104,parable
4105,.
4106,7:18
4107,.
4108,saith
4109,:
4110,also
4111,without
4112,knowledge
4113,?
4114,Understand
4115,every
4116,thing
4117,without
4118,entering
4119,man
4120,defile
4121,:
4122,7:19
4123,.
4124,entereth
4125,heart
4126,","
4127,goeth
4128,belly
4129,","
4130,goeth
4131,privy
4132,","
4133,purging
4134,meat
4135,?
4136,7:20
4137,.
4138,said
4139,thing
4140,come
4141,man
4142,","
4143,defile
4144,man
4145,.
4146,7:21
4147,.
4148,within
4149,","
4150,heart
4151,men
4152,","
4153,proceed
4154,evil
4155,thought
4156,","
4157,adultery
4158,","
4159,fornication
4160,","
4161,murder
4162,","
4163,7:22
4164,.
4165,Thefts
4166,","
4167,covetousness
4168,","
4169,wickedness
4170,","
4171,deceit
4172,","
4173,lasciviousness
4174,","
4175,evil
4176,eye
4177,","
4178,blasphemy
4179,","
4180,pride
4181,","
4182,foolishness
4183,.
4184,7:23
4185,.
4186,evil
4187,thing
4188,come
4189,within
4190,defile
4191,man
4192,.
4193,7:24
4194,.
4195,rising
4196,thence
4197,went
4198,coast
4199,Tyre
4200,Sidon
4201,:
4202,entering
4203,house
4204,","
4205,would
4206,man
4207,know
4208,.
4209,could
4210,hid
4211,.
4212,7:25
4213,.
4214,woman
4215,soon
4216,heard
4217,","
4218,whose
4219,daughter
4220,unclean
4221,spirit
4222,","
4223,came
4224,fell
4225,foot
4226,.
4227,7:26
4228,.
4229,woman
4230,Gentile
4231,","
4232,Syrophenician
4233,born
4234,.
4235,besought
4236,would
4237,cast
4238,forth
4239,devil
4240,daughter
4241,.
4242,7:27.
4243,said
4244,:
4245,suffer
4246,first
4247,child
4248,filled
4249,:
4250,good
4251,take
4252,bread
4253,child
4254,cast
4255,dog
4256,.
4257,7:28
4258,.
4259,answered
4260,said
4261,:
4262,Yea
4263,","
4264,Lord
4265,;
4266,whelp
4267,also
4268,eat
4269,table
4270,crumb
4271,child
4272,.
4273,7:29
4274,.
4275,said
4276,:
4277,saying
4278,","
4279,go
4280,thy
4281,way
4282,.
4283,devil
4284,gone
4285,thy
4286,daughter
4287,.
4288,7:30
4289,.
4290,come
4291,house
4292,","
4293,found
4294,girl
4295,lying
4296,upon
4297,bed
4298,devil
4299,gone
4300,.
4301,7:31
4302,.
4303,going
4304,coast
4305,Tyre
4306,","
4307,came
4308,Sidon
4309,sea
4310,Galilee
4311,","
4312,midst
4313,coast
4314,Decapolis
4315,.
4316,7:32
4317,.
4318,bring
4319,one
4320,deaf
4321,dumb
4322,:
4323,besought
4324,would
4325,lay
4326,hand
4327,upon
4328,.
4329,7:33
4330,.
4331,taking
4332,multitude
4333,apart
4334,","
4335,put
4336,finger
4337,ear
4338,:
4339,spitting
4340,","
4341,touched
4342,tongue
4343,.
4344,7:34
4345,.
4346,looking
4347,heaven
4348,","
4349,groaned
4350,said
4351,:
4352,Ephpheta
4353,","
4354,","
4355,thou
4356,opened
4357,.
4358,7:35
4359,.
4360,immediately
4361,ear
4362,opened
4363,string
4364,tongue
4365,loosed
4366,spoke
4367,right
4368,.
4369,7:36
4370,.
4371,charged
4372,tell
4373,man
4374,.
4375,charged
4376,","
4377,much
4378,great
4379,deal
4380,publish
4381,.
4382,7:37
4383,.
4384,much
4385,wonder
4386,","
4387,saying
4388,:
4389,hath
4390,done
4391,thing
4392,well
4393,.
4394,hath
4395,made
4396,deaf
4397,hear
4398,dumb
4399,speak
4400,.
4401,Mark
4402,Chapter
4403,8
4404,Christ
4405,feed
4406,four
4407,thousand
4408,.
4409,give
4410,sight
4411,blind
4412,man
4413,.
4414,foretells
4415,passion
4416,.
4417,8:1
4418,.
4419,day
4420,","
4421,great
4422,multitude
4423,nothing
4424,eat
4425,;
4426,calling
4427,disciple
4428,together
4429,","
4430,saith
4431,:
4432,8:2
4433,.
4434,compassion
4435,multitude
4436,","
4437,behold
4438,three
4439,day
4440,nothing
4441,eat
4442,.
4443,8:3
4444,.
4445,shall
4446,send
4447,away
4448,fasting
4449,home
4450,","
4451,faint
4452,way
4453,:
4454,came
4455,afar
4456,.
4457,8:4
4458,.
4459,disciple
4460,answered
4461,:
4462,whence
4463,one
4464,fill
4465,bread
4466,wilderness
4467,?
4468,8:5
4469,.
4470,asked
4471,:
4472,many
4473,loaf
4474,ye
4475,?
4476,said
4477,:
4478,Seven
4479,.
4480,8:6
4481,.
4482,commanded
4483,people
4484,sit
4485,ground
4486,.
4487,taking
4488,seven
4489,loaf
4490,","
4491,giving
4492,thanks
4493,","
4494,broke
4495,gave
4496,disciple
4497,set
4498,.
4499,set
4500,people
4501,.
4502,8:7
4503,.
4504,little
4505,fish
4506,:
4507,blessed
4508,commanded
4509,set
4510,.
4511,8:8
4512,.
4513,eat
4514,filled
4515,:
4516,took
4517,left
4518,fragment
4519,","
4520,seven
4521,basket
4522,.
4523,8:9
4524,.
4525,eaten
4526,four
4527,thousand
4528,.
4529,sent
4530,away
4531,.
4532,8:10
4533,.
4534,immediately
4535,going
4536,ship
4537,disciple
4538,","
4539,came
4540,part
4541,Dalmanutha
4542,.
4543,8:11
4544,.
4545,Pharisees
4546,came
4547,forth
4548,began
4549,question
4550,","
4551,asking
4552,sign
4553,heaven
4554,","
4555,tempting
4556,.
4557,8:12
4558,.
4559,sighing
4560,deeply
4561,spirit
4562,","
4563,saith
4564,:
4565,doth
4566,generation
4567,seek
4568,sign
4569,?
4570,Amen
4571,","
4572,say
4573,","
4574,sign
4575,shall
4576,given
4577,generation
4578,.
4579,8:13
4580,.
4581,leaving
4582,","
4583,went
4584,ship
4585,passed
4586,side
4587,water
4588,.
4589,8:14
4590,.
4591,forgot
4592,take
4593,bread
4594,:
4595,one
4596,loaf
4597,ship
4598,.
4599,8:15
4600,.
4601,charged
4602,saying
4603,:
4604,Take
4605,heed
4606,beware
4607,leaven
4608,Pharisees
4609,leaven
4610,Herod
4611,.
4612,8:16
4613,.
4614,reasoned
4615,among
4616,","
4617,saying
4618,:
4619,bread
4620,.
4621,8:17
4622,.
4623,Jesus
4624,knowing
4625,","
4626,saith
4627,:
4628,reason
4629,","
4630,bread
4631,?
4632,yet
4633,know
4634,understand
4635,?
4636,still
4637,heart
4638,blinded
4639,?
4640,8:18
4641,.
4642,eye
4643,","
4644,see
4645,?
4646,ear
4647,","
4648,hear
4649,?
4650,Neither
4651,remember
4652,?
4653,8:19
4654,.
4655,broke
4656,five
4657,loaf
4658,among
4659,five
4660,thousand
4661,","
4662,many
4663,basket
4664,full
4665,fragment
4666,took
4667,?
4668,say
4669,:
4670,Twelve
4671,.
4672,8:20
4673,.
4674,also
4675,seven
4676,loaf
4677,among
4678,four
4679,thousand
4680,","
4681,many
4682,basket
4683,fragment
4684,took
4685,?
4686,say
4687,:
4688,Seven
4689,.
4690,8:21
4691,.
4692,said
4693,:
4694,yet
4695,understand
4696,?
4697,8:22
4698,.
4699,came
4700,Bethsaida
4701,:
4702,bring
4703,blind
4704,man
4705,.
4706,besought
4707,would
4708,touch
4709,.
4710,8:23
4711,.
4712,taking
4713,blind
4714,man
4715,hand
4716,","
4717,led
4718,town
4719,.
4720,spitting
4721,upon
4722,eye
4723,","
4724,laying
4725,hand
4726,","
4727,asked
4728,saw
4729,thing
4730,.
4731,8:24
4732,.
4733,looking
4734,","
4735,said
4736,:
4737,see
4738,men
4739,","
4740,tree
4741,","
4742,walking
4743,.
4744,8:25
4745,.
4746,laid
4747,hand
4748,upon
4749,eye
4750,:
4751,began
4752,see
4753,restored
4754,","
4755,saw
4756,thing
4757,clearly
4758,.
4759,8:26
4760,.
4761,sent
4762,house
4763,","
4764,saying
4765,:
4766,Go
4767,thy
4768,house
4769,","
4770,thou
4771,enter
4772,town
4773,","
4774,tell
4775,nobody
4776,.
4777,8:27
4778,.
4779,Jesus
4780,went
4781,","
4782,disciple
4783,town
4784,Cæsarea
4785,Philippi
4786,.
4787,way
4788,","
4789,asked
4790,disciple
4791,","
4792,saying
4793,:
4794,men
4795,say
4796,?
4797,8:28.
4798,answered
4799,","
4800,saying
4801,:
4802,John
4803,Baptist
4804,;
4805,Elias
4806,","
4807,others
4808,one
4809,prophet
4810,.
4811,8:29
4812,.
4813,saith
4814,:
4815,say
4816,?
4817,Peter
4818,answering
4819,said
4820,:
4821,Thou
4822,art
4823,Christ
4824,.
4825,8:30
4826,.
4827,strictly
4828,charged
4829,tell
4830,man
4831,.
4832,8:31
4833,.
4834,began
4835,teach
4836,Son
4837,man
4838,must
4839,suffer
4840,many
4841,thing
4842,rejected
4843,ancient
4844,high
4845,priest
4846,scribe
4847,:
4848,killed
4849,three
4850,day
4851,rise
4852,.
4853,8:32
4854,.
4855,spoke
4856,word
4857,openly
4858,.
4859,Peter
4860,taking
4861,began
4862,rebuke
4863,.
4864,8:33.
4865,turning
4866,seeing
4867,disciple
4868,","
4869,threatened
4870,Peter
4871,","
4872,saying
4873,:
4874,Go
4875,behind
4876,","
4877,Satan
4878,","
4879,thou
4880,savourest
4881,thing
4882,God
4883,men
4884,.
4885,8:34
4886,.
4887,calling
4888,multitude
4889,together
4890,disciple
4891,","
4892,said
4893,:
4894,man
4895,follow
4896,","
4897,let
4898,deny
4899,take
4900,cross
4901,follow
4902,.
4903,8:35
4904,.
4905,whosoever
4906,save
4907,life
4908,shall
4909,lose
4910,:
4911,whosoever
4912,shall
4913,lose
4914,life
4915,sake
4916,gospel
4917,shall
4918,save
4919,.
4920,8:36
4921,.
4922,shall
4923,profit
4924,man
4925,","
4926,gain
4927,whole
4928,world
4929,suffer
4930,loss
4931,soul
4932,?
4933,8:37
4934,.
4935,shall
4936,man
4937,give
4938,exchange
4939,soul
4940,?
4941,8:38
4942,.
4943,shall
4944,ashamed
4945,word
4946,","
4947,adulterous
4948,sinful
4949,generation
4950,:
4951,Son
4952,man
4953,also
4954,ashamed
4955,","
4956,shall
4957,come
4958,glory
4959,Father
4960,holy
4961,angel
4962,.
4963,8:39
