,lemmatised_Mark
639,clean
640,.
641,1:43
642,.
643,strictly
644,charged
645,forthwith
646,sent
647,away
648,.
649,1:44
650,.
651,saith
652,:
653,See
654,thou
655,tell
656,one
657,;
658,go
659,","
660,shew
661,thyself
662,high
663,priest
664,offer
665,thy
666,cleansing
667,thing
668,Moses
669,commanded
670,","
671,testimony
672,.
673,1:45
674,.
675,gone
676,","
677,began
678,publish
679,blaze
680,abroad
681,word
682,:
683,could
684,openly
685,go
686,city
687,","
688,without
689,desert
690,place
691,.
692,flocked
693,side
694,.
695,Mark
696,Chapter
697,2
698,Christ
699,heals
700,sick
701,palsy
702,.
703,call
704,Matthew
705,excuse
706,disciple
707,.
708,2:1
709,.
710,entered
711,Capharnaum
712,day
713,.
714,2:2
715,.
716,heard
717,house
718,.
719,many
720,came
721,together
722,","
723,room
724,:
725,","
726,even
727,door
728,.
729,spoke
730,word
731,.
732,2:3
733,.
734,came
735,","
736,bringing
737,one
738,sick
739,palsy
740,","
741,carried
742,four
743,.
744,2:4
745,.
746,could
747,offer
748,unto
749,multitude
750,","
751,uncovered
752,roof
753,:
754,opening
755,","
756,let
757,bed
758,wherein
759,man
760,sick
761,palsy
762,lay
763,.
764,2:5
765,.
766,Jesus
767,seen
768,faith
769,","
770,saith
771,sick
772,palsy
773,:
774,Son
775,","
776,thy
777,sin
778,forgiven
779,thee
780,.
781,2:6
782,.
783,scribe
784,sitting
785,thinking
786,heart
787,:
788,2:7
789,.
790,doth
791,man
792,speak
793,thus
794,?
795,blasphemeth
796,.
797,forgive
798,sin
799,","
800,God
801,?
802,2:8
803,.
804,Jesus
805,presently
806,knowing
807,spirit
808,thought
809,within
810,","
811,saith
812,:
813,think
814,thing
815,heart
816,?
817,2:9
818,.
819,easier
820,","
821,say
822,sick
823,palsy
824,:
825,Thy
826,sin
827,forgiven
828,thee
829,;
830,say
831,:
832,Arise
833,","
834,take
835,thy
836,bed
837,walk
838,?
839,2:10
840,.
841,may
842,know
843,Son
844,man
845,hath
846,power
847,earth
848,forgive
849,sin
850,(
851,saith
852,sick
853,palsy
854,)
855,:
856,2:11
857,.
858,say
859,thee
860,:
861,Arise
862,.
863,Take
864,thy
865,bed
866,go
867,thy
868,house
869,.
870,2:12
871,.
872,immediately
873,arose
874,","
875,taking
876,bed
877,","
878,went
879,way
880,sight
881,:
882,wondered
883,glorified
884,God
885,","
886,saying
887,:
888,never
889,saw
890,like
891,.
892,2:13
893,.
894,went
895,forth
896,sea
897,side
898,:
899,multitude
900,came
901,.
902,taught
903,.
904,2:14
905,.
906,passing
907,","
908,saw
909,Levi
910,","
911,son
912,Alpheus
913,","
914,sitting
915,receipt
916,custom
917,;
918,saith
919,:
920,Follow
921,.
922,rising
923,","
924,followed
925,.
926,2:15
927,.
928,came
929,pas
930,sat
931,meat
932,house
933,","
934,many
935,publican
936,sinner
937,sat
938,together
939,Jesus
940,disciple
941,.
942,many
943,","
944,also
945,followed
946,.
947,2:16
948,.
949,scribe
950,Pharisees
951,","
952,seeing
953,ate
954,publican
955,sinner
956,","
957,said
958,disciple
959,:
960,doth
961,master
962,eat
963,drink
964,publican
965,sinner
966,?
967,2:17
968,.
969,Jesus
970,hearing
971,","
972,saith
973,:
974,well
975,need
976,physician
977,","
978,sick
979,.
980,came
981,call
982,","
983,sinner
984,.
985,2:18
986,.
987,disciple
988,John
989,Pharisees
990,used
991,fast
992,.
993,come
994,say
995,:
996,disciple
997,John
998,Pharisees
999,fast
1000,;
1001,thy
1002,disciple
1003,fast
1004,?
1005,2:19
1006,.
1007,Jesus
1008,saith
1009,:
1010,child
1011,marriage
1012,fast
1013,","
1014,long
1015,bridegroom
1016,?
1017,long
1018,bridegroom
1019,","
1020,fast
1021,.
1022,2:20
1023,.
1024,day
1025,come
1026,bridegroom
1027,shall
1028,taken
1029,away
1030,:
1031,shall
1032,fast
1033,day
1034,.
1035,2:21
1036,.
1037,man
1038,seweth
1039,piece
1040,raw
1041,cloth
1042,old
1043,garment
1044,:
1045,otherwise
1046,new
1047,piecing
1048,taketh
1049,away
1050,old
1051,","
1052,made
1053,greater
1054,rent
1055,.
1056,2:22
1057,.
1058,man
1059,putteth
1060,new
1061,wine
1062,old
1063,bottle
1064,:
1065,otherwise
1066,wine
1067,burst
1068,bottle
1069,","
1070,wine
1071,spilled
1072,bottle
1073,lost
1074,.
1075,new
1076,wine
1077,must
1078,put
1079,new
1080,bottle
1081,.
1082,2:23
1083,.
1084,came
1085,pas
1086,","
1087,Lord
1088,walked
1089,corn
1090,field
1091,sabbath
1092,","
1093,disciple
1094,began
1095,go
1096,forward
1097,pluck
1098,ear
1099,corn
1100,.
1101,2:24
1102,.
1103,Pharisees
1104,said
1105,:
1106,Behold
1107,","
1108,sabbath
1109,day
1110,lawful
1111,?
1112,2:25
1113,.
1114,said
1115,:
1116,never
1117,read
1118,David
1119,need
1120,hungry
1121,","
1122,?
1123,2:26
1124,.
1125,went
1126,house
1127,God
1128,","
1129,Abiathar
1130,high
1131,priest
1132,","
1133,eat
1134,loaf
1135,proposition
1136,","
1137,lawful
1138,eat
1139,priest
1140,","
1141,gave
1142,?
1143,2:27
1144,.
1145,said
1146,:
1147,sabbath
1148,made
1149,man
1150,","
1151,man
1152,sabbath
1153,.
1154,2:28
1155,.
1156,Therefore
1157,Son
1158,man
1159,Lord
1160,sabbath
1161,also
1162,.
1163,Mark
1164,Chapter
1165,3
1166,Christ
1167,heals
1168,withered
1169,hand
1170,.
1171,chooses
1172,twelve
1173,.
1174,confutes
1175,blasphemy
1176,Pharisees
1177,.
1178,3:1
1179,.
1180,entered
1181,synagogue
1182,:
1183,man
1184,withered
1185,hand
1186,.
1187,3:2
1188,.
1189,watched
1190,whether
1191,would
1192,heal
1193,sabbath
1194,day
1195,","
1196,might
1197,accuse
1198,.
1199,3:3
1200,.
1201,said
1202,man
1203,withered
1204,hand
1205,:
1206,Stand
1207,midst
1208,.
1209,3:4
1210,.
1211,saith
1212,:
1213,lawful
1214,good
1215,sabbath
1216,day
1217,","
1218,evil
1219,?
1220,save
1221,life
1222,","
1223,destroy
1224,?
1225,held
1226,peace
1227,.
1228,3:5
1229,.
1230,looking
1231,round
1232,anger
1233,","
1234,grieved
1235,blindness
1236,heart
1237,","
1238,saith
1239,man
1240,:
1241,Stretch
1242,forth
1243,thy
1244,hand
1245,.
1246,stretched
1247,forth
1248,:
1249,hand
1250,restored
1251,unto
1252,.
1253,3:6
1254,.
1255,Pharisees
1256,going
1257,","
1258,immediately
1259,made
1260,consultation
1261,Herodians
1262,","
1263,might
1264,destroy
1265,.
1266,3:7
1267,.
1268,Jesus
1269,retired
1270,disciple
1271,sea
1272,;
1273,great
1274,multitude
1275,followed
1276,Galilee
1277,Judea
1278,","
1279,3:8
1280,.
1281,Jerusalem
1282,","
1283,Idumea
1284,beyond
1285,Jordan
1286,.
1287,Tyre
1288,Sidon
1289,","
1290,great
1291,multitude
1292,","
1293,hearing
1294,thing
1295,","
1296,came
1297,.
1298,3:9
1299,.
1300,spoke
1301,disciple
1302,small
1303,ship
1304,wait
1305,","
1306,multitude
1307,","
1308,lest
1309,throng
1310,.
1311,3:10
1312,.
1313,healed
1314,many
1315,","
1316,pressed
1317,upon
1318,touch
1319,","
1320,many
1321,evil
1322,.
1323,3:11
1324,.
1325,unclean
1326,spirit
1327,","
1328,saw
1329,","
1330,fell
1331,:
1332,cried
1333,","
1334,saying
1335,:
1336,3:12
1337,.
1338,Thou
1339,art
1340,Son
1341,God
1342,.
1343,strictly
1344,charged
1345,make
1346,known
1347,.
1348,3:13
1349,.
1350,going
1351,mountain
1352,","
1353,called
1354,unto
1355,would
1356,:
1357,came
1358,.
1359,3:14
1360,.
1361,made
1362,twelve
1363,","
1364,might
1365,send
1366,preach
1367,.
1368,3:15
1369,.
1370,gave
1371,power
1372,heal
1373,sickness
1374,","
1375,cast
1376,devil
1377,.
1378,3:16
1379,.
1380,Simon
1381,gave
1382,name
1383,Peter
1384,:
1385,3:17
1386,.
1387,James
1388,son
1389,Zebedee
1390,","
1391,John
1392,brother
1393,James
1394,;
1395,named
1396,Boanerges
1397,","
1398,","
1399,son
1400,thunder
1401,.
1402,3:18
1403,.
1404,Andrew
1405,Philip
1406,","
1407,Bartholomew
1408,Matthew
1409,","
1410,Thomas
1411,James
1412,Alpheus
1413,","
1414,Thaddeus
1415,Simon
1416,Cananean
1417,:
1418,3:19
1419,.
1420,Judas
1421,Iscariot
1422,","
1423,also
1424,betrayed
1425,.
1426,3:20
1427,.
1428,come
1429,house
1430,","
1431,multitude
1432,cometh
1433,together
1434,","
1435,could
1436,much
1437,eat
1438,bread
1439,.
1440,3:21
1441,.
1442,friend
1443,heard
1444,","
1445,went
1446,lay
1447,hold
1448,.
1449,said
1450,:
1451,become
1452,mad
1453,.
1454,3:22
1455,.
1456,scribe
1457,come
1458,Jerusalem
1459,","
1460,said
1461,:
1462,hath
1463,Beelzebub
1464,","
1465,prince
1466,devil
1467,casteth
1468,devil
1469,.
1470,3:23
1471,.
1472,called
1473,together
1474,","
1475,said
1476,parable
1477,:
1478,Satan
1479,cast
1480,Satan
1481,?
1482,3:24
1483,.
1484,kingdom
1485,divided
1486,","
1487,kingdom
1488,stand
1489,.
1490,3:25
1491,.
1492,house
1493,divided
1494,","
1495,house
1496,stand
1497,.
1498,3:26
1499,.
1500,Satan
1501,risen
1502,","
1503,divided
1504,","
1505,stand
1506,","
1507,hath
1508,end
1509,.
1510,3:27
1511,.
1512,man
1513,enter
1514,house
1515,strong
1516,man
